Puskesmas,Dimensi,z,p-value,Kesimpulan
Karangayu,Responsiveness,"-6,06","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Dr Soetomo,Empathy,"5,69","< 0,001",Tolak H0 — lebih sering dikeluhkan
Candilama,Responsiveness,"-5,49","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Kebonsari,Assurance,"5,40","< 0,001",Tolak H0 — lebih sering dikeluhkan
Dr Soetomo,Responsiveness,"-5,32","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Kedungmundu,Empathy,"-5,13","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Wiyung,Empathy,"5,13","< 0,001",Tolak H0 — lebih sering dikeluhkan
Karangdoro,Responsiveness,"-4,75","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Kalirungkut,Responsiveness,"4,74","< 0,001",Tolak H0 — lebih sering dikeluhkan
Medokan Ayu,Responsiveness,"4,41","< 0,001",Tolak H0 — lebih sering dikeluhkan
Bulak  Banteng,Tangibles,"4,39","< 0,001",Tolak H0 — lebih sering dikeluhkan
Telogosari Wetan,Responsiveness,"-4,38","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Gayamsari,Empathy,"-4,15","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Lamper Tengah,Empathy,"-4,14","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Rowosari,Empathy,"-4,11","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Ngesrep,Responsiveness,"-4,02","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Dukuh  Kupang,Responsiveness,"3,95","< 0,001",Tolak H0 — lebih sering dikeluhkan
Pucangsewu,Responsiveness,"3,85","< 0,001",Tolak H0 — lebih sering dikeluhkan
Krobokan,Responsiveness,"-3,83","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Kretek,Tangibles,"3,83","< 0,001",Tolak H0 — lebih sering dikeluhkan
Gunungpati,Empathy,"-3,81","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Pandanaran,Responsiveness,"-3,75","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Sidotopo Wetan,Empathy,"3,69","< 0,001",Tolak H0 — lebih sering dikeluhkan
Mijen,Responsiveness,"-3,67","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Sekaran,Empathy,"-3,60","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Manukan Kulon,Responsiveness,"3,57","< 0,001",Tolak H0 — lebih sering dikeluhkan
Ngaliyan,Responsiveness,"-3,50","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Kagok,Empathy,"-3,49","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Karangayu,Empathy,"-3,46","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Mulyorejo,Assurance,"3,44","< 0,001",Tolak H0 — lebih sering dikeluhkan
Bugangan,Empathy,"-3,44","< 0,001",Tolak H0 — lebih jarang dikeluhkan
Krembangan Selatan,Responsiveness,"3,41","< 0,001",Tolak H0 — lebih sering dikeluhkan
Rangkah,Responsiveness,"3,39","< 0,001",Tolak H0 — lebih sering dikeluhkan
Lontar,Empathy,"3,31","< 0,001",Tolak H0 — lebih sering dikeluhkan
Karangayu,Reliability,"3,26","0,001",Tolak H0 — lebih sering dikeluhkan
Balas  Klumprik,Responsiveness,"-3,19","0,001",Tolak H0 — lebih jarang dikeluhkan
Kalirungkut,Empathy,"-3,17","0,002",Tolak H0 — lebih jarang dikeluhkan
Padangsari,Empathy,"-3,16","0,002",Tolak H0 — lebih jarang dikeluhkan
Ngemplak Simongan,Empathy,"-3,16","0,002",Tolak H0 — lebih jarang dikeluhkan
Manyaran,Responsiveness,"-3,13","0,002",Tolak H0 — lebih jarang dikeluhkan
Sidotopo,Responsiveness,"3,13","0,002",Tolak H0 — lebih sering dikeluhkan
Gayamsari,Responsiveness,"-3,10","0,002",Tolak H0 — lebih jarang dikeluhkan
Srondol,Responsiveness,"-3,08","0,002",Tolak H0 — lebih jarang dikeluhkan
Morokrembangan,Empathy,"3,07","0,002",Tolak H0 — lebih sering dikeluhkan
Made,Responsiveness,"-3,05","0,002",Tolak H0 — lebih jarang dikeluhkan
Tambakaji,Tangibles,"3,03","0,003",Tolak H0 — lebih sering dikeluhkan
Menur,Responsiveness,"3,00","0,003",Tolak H0 — lebih sering dikeluhkan
Rowosari,Assurance,"-2,95","0,003",Tolak H0 — lebih jarang dikeluhkan
Menur,Assurance,"2,92","0,004",Tolak H0 — lebih sering dikeluhkan
Bangetayu,Empathy,"-2,91","0,004",Tolak H0 — lebih jarang dikeluhkan
Ketabang,Responsiveness,"-2,91","0,004",Tolak H0 — lebih jarang dikeluhkan
Karangmalang,Responsiveness,"-2,89","0,004",Tolak H0 — lebih jarang dikeluhkan
Banguntapan 3,Reliability,"-2,86","0,004",Tolak H0 — lebih jarang dikeluhkan
Siwalankerto,Assurance,"2,83","0,005",Tolak H0 — lebih sering dikeluhkan
Genuk,Responsiveness,"-2,81","0,005",Tolak H0 — lebih jarang dikeluhkan
Purwoyoso,Reliability,"-2,78","0,005",Tolak H0 — lebih jarang dikeluhkan
Wiyung,Responsiveness,"-2,73","0,006",Tolak H0 — lebih jarang dikeluhkan
Tenggilis,Responsiveness,"2,73","0,006",Tolak H0 — lebih sering dikeluhkan
Bangetayu,Responsiveness,"-2,72","0,006",Tolak H0 — lebih jarang dikeluhkan
Mojo,Responsiveness,"2,71","0,007",Tolak H0 — lebih sering dikeluhkan
Srondol,Tangibles,"2,69","0,007",Tolak H0 — lebih sering dikeluhkan
Medokan Ayu,Empathy,"-2,69","0,007",Tolak H0 — lebih jarang dikeluhkan
Keputih,Tangibles,"2,68","0,007",Tolak H0 — lebih sering dikeluhkan
Ngemplak Simongan,Responsiveness,"2,67","0,007",Tolak H0 — lebih sering dikeluhkan
Ngagel  Rejo,Empathy,"2,67","0,008",Tolak H0 — lebih sering dikeluhkan
Halmahera,Empathy,"-2,66","0,008",Tolak H0 — lebih jarang dikeluhkan
Kenjeran,Empathy,"2,60","0,009",Tolak H0 — lebih sering dikeluhkan
Wiyung,Tangibles,"-2,58","0,010",Tolak H0 — lebih jarang dikeluhkan
Siwalankerto,Reliability,"2,57","0,010",Tolak H0 — lebih sering dikeluhkan
Mojo,Empathy,"2,56","0,010",Tolak H0 — lebih sering dikeluhkan
Kedungmundu,Assurance,"-2,55","0,011",Tolak H0 — lebih jarang dikeluhkan
Ngemplak Simongan,Reliability,"-2,54","0,011",Tolak H0 — lebih jarang dikeluhkan
Sewon 1,Responsiveness,"2,53","0,011",Tolak H0 — lebih sering dikeluhkan
Tambakaji,Responsiveness,"-2,53","0,011",Tolak H0 — lebih jarang dikeluhkan
Poncol,Responsiveness,"-2,52","0,012",Tolak H0 — lebih jarang dikeluhkan
Miroto,Responsiveness,"-2,48","0,013",Tolak H0 — lebih jarang dikeluhkan
Manukan Kulon,Reliability,"2,48","0,013",Tolak H0 — lebih sering dikeluhkan
Wonokusumo,Tangibles,"-2,47","0,013",Tolak H0 — lebih jarang dikeluhkan
Pucangsewu,Reliability,"2,47","0,014",Tolak H0 — lebih sering dikeluhkan
Wonokusumo,Empathy,"2,46","0,014",Tolak H0 — lebih sering dikeluhkan
Telogosari Kulon,Responsiveness,"-2,44","0,015",Tolak H0 — lebih jarang dikeluhkan
Kalijudan,Responsiveness,"-2,41","0,016",Tolak H0 — lebih jarang dikeluhkan
Lebdosari,Reliability,"-2,41","0,016",Tolak H0 — lebih jarang dikeluhkan
Bantul 2,Responsiveness,"2,38","0,017",Tolak H0 — lebih sering dikeluhkan
Sidotopo Wetan,Assurance,"-2,38","0,017",Tolak H0 — lebih jarang dikeluhkan
Ketabang,Empathy,"2,37","0,018",Tolak H0 — lebih sering dikeluhkan
Dr Soetomo,Reliability,"-2,36","0,018",Tolak H0 — lebih jarang dikeluhkan
Mangkang,Tangibles,"2,36","0,018",Tolak H0 — lebih sering dikeluhkan
Ngagel  Rejo,Assurance,"2,34","0,019",Tolak H0 — lebih sering dikeluhkan
Asemrowo,Responsiveness,"2,33","0,020",Tolak H0 — lebih sering dikeluhkan
Dr Soetomo,Assurance,"2,33","0,020",Tolak H0 — lebih sering dikeluhkan
Bantul 1,Empathy,"2,30","0,021",Tolak H0 — lebih sering dikeluhkan
Kedungdoro,Responsiveness,"2,30","0,021",Tolak H0 — lebih sering dikeluhkan
Kasihan 1,Reliability,"-2,30","0,021",Tolak H0 — lebih jarang dikeluhkan
Klampis  Ngasem,Responsiveness,"2,29","0,022",Tolak H0 — lebih sering dikeluhkan
Banguntapan 2,Tangibles,"2,27","0,023",Tolak H0 — lebih sering dikeluhkan
Morokrembangan,Reliability,"-2,25","0,024",Tolak H0 — lebih jarang dikeluhkan
Kalijudan,Empathy,"2,24","0,025",Tolak H0 — lebih sering dikeluhkan
Wonokromo,Reliability,"2,23","0,026",Tolak H0 — lebih sering dikeluhkan
Banyu  Urip,Reliability,"2,22","0,026",Tolak H0 — lebih sering dikeluhkan
Kretek,Responsiveness,"2,21","0,027",Tolak H0 — lebih sering dikeluhkan
Simolawang,Responsiveness,"2,21","0,027",Tolak H0 — lebih sering dikeluhkan
Sidotopo Wetan,Responsiveness,"-2,18","0,029",Tolak H0 — lebih jarang dikeluhkan
Kedungmundu,Reliability,"-2,18","0,029",Tolak H0 — lebih jarang dikeluhkan
Peneleh,Responsiveness,"2,17","0,030",Tolak H0 — lebih sering dikeluhkan
Gading,Tangibles,"2,16","0,031",Tolak H0 — lebih sering dikeluhkan
Kretek,Empathy,"-2,15","0,032",Tolak H0 — lebih jarang dikeluhkan
Bangkingan,Reliability,"-2,14","0,032",Tolak H0 — lebih jarang dikeluhkan
Mojo,Tangibles,"-2,13","0,033",Tolak H0 — lebih jarang dikeluhkan
Kagok,Assurance,"-2,13","0,033",Tolak H0 — lebih jarang dikeluhkan
Sanden,Empathy,"2,13","0,033",Tolak H0 — lebih sering dikeluhkan
Pakis,Responsiveness,"2,12","0,034",Tolak H0 — lebih sering dikeluhkan
Dlingo 1,Reliability,"-2,11","0,035",Tolak H0 — lebih jarang dikeluhkan
Pandak 2,Assurance,"-2,10","0,035",Tolak H0 — lebih jarang dikeluhkan
Medokan Ayu,Tangibles,"2,10","0,036",Tolak H0 — lebih sering dikeluhkan
Pleret,Tangibles,"2,10","0,036",Tolak H0 — lebih sering dikeluhkan
Kasihan 1,Responsiveness,"2,09","0,036",Tolak H0 — lebih sering dikeluhkan
Pegirian,Assurance,"2,06","0,039",Tolak H0 — lebih sering dikeluhkan
Gunung  Anyar,Empathy,"2,05","0,040",Tolak H0 — lebih sering dikeluhkan
Kalijudan,Tangibles,"-2,05","0,040",Tolak H0 — lebih jarang dikeluhkan
Balas  Klumprik,Reliability,"2,04","0,041",Tolak H0 — lebih sering dikeluhkan
Tambakaji,Empathy,"-2,04","0,041",Tolak H0 — lebih jarang dikeluhkan
Telogosari Kulon,Assurance,"-2,04","0,042",Tolak H0 — lebih jarang dikeluhkan
Ngaliyan,Empathy,"-2,03","0,042",Tolak H0 — lebih jarang dikeluhkan
Tanjungsari,Assurance,"2,03","0,043",Tolak H0 — lebih sering dikeluhkan
Karangayu,Assurance,"2,03","0,043",Tolak H0 — lebih sering dikeluhkan
Jetis 1,Responsiveness,"2,02","0,043",Tolak H0 — lebih sering dikeluhkan
Pajangan,Responsiveness,"2,02","0,043",Tolak H0 — lebih sering dikeluhkan
Mulyorejo,Responsiveness,"-2,02","0,044",Tolak H0 — lebih jarang dikeluhkan
Sewon 2,Responsiveness,"2,00","0,045",Tolak H0 — lebih sering dikeluhkan
Tambak  Wedi,Responsiveness,"2,00","0,045",Tolak H0 — lebih sering dikeluhkan
Krobokan,Empathy,"-1,99","0,047",Tolak H0 — lebih jarang dikeluhkan
Karangmalang,Empathy,"-1,98","0,048",Tolak H0 — lebih jarang dikeluhkan
