Puskesmas,Dimensi,z,p_value,Kesimpulan
Bambanglipuro,Assurance,-1.122,0.2619,Gagal tolak H0 (setara)
Banguntapan 1,Assurance,1.04,0.2983,Gagal tolak H0 (setara)
Banguntapan 2,Assurance,0.13,0.8967,Gagal tolak H0 (setara)
Banguntapan 3,Assurance,-0.117,0.9067,Gagal tolak H0 (setara)
Bantul 1,Assurance,-1.013,0.3109,Gagal tolak H0 (setara)
Bantul 2,Assurance,0.222,0.8245,Gagal tolak H0 (setara)
Dlingo 1,Assurance,0.151,0.8803,Gagal tolak H0 (setara)
Dlingo 2,Assurance,-0.647,0.5176,Gagal tolak H0 (setara)
Imogiri 1,Assurance,-0.886,0.3756,Gagal tolak H0 (setara)
Imogiri 2,Assurance,-1.195,0.2319,Gagal tolak H0 (setara)
Jetis 1,Assurance,-0.951,0.3417,Gagal tolak H0 (setara)
Jetis 2,Assurance,0.464,0.6428,Gagal tolak H0 (setara)
Kasihan 1,Assurance,-0.861,0.3892,Gagal tolak H0 (setara)
Kasihan 2,Assurance,-0.974,0.33,Gagal tolak H0 (setara)
Kretek,Assurance,-0.552,0.5811,Gagal tolak H0 (setara)
Pajangan,Assurance,-0.951,0.3417,Gagal tolak H0 (setara)
Pandak 1,Assurance,-1.094,0.2738,Gagal tolak H0 (setara)
Pandak 2,Assurance,-2.102,0.0355,Tolak H0 — lebih jarang dikeluhkan
Piyungan,Assurance,-0.746,0.4554,Gagal tolak H0 (setara)
Pleret,Assurance,-1.196,0.2318,Gagal tolak H0 (setara)
Pundong,Assurance,0.137,0.8911,Gagal tolak H0 (setara)
Sanden,Assurance,-0.802,0.4227,Gagal tolak H0 (setara)
Sedayu 1,Assurance,-1.195,0.2319,Gagal tolak H0 (setara)
Sedayu 2,Assurance,-1.046,0.2956,Gagal tolak H0 (setara)
Sewon 1,Assurance,1.686,0.0917,Gagal tolak H0 (setara)
Sewon 2,Assurance,-0.203,0.839,Gagal tolak H0 (setara)
Srandakan,Assurance,-0.723,0.4696,Gagal tolak H0 (setara)
Balas  Klumprik,Assurance,1.661,0.0966,Gagal tolak H0 (setara)
Bangkingan,Assurance,1.661,0.0966,Gagal tolak H0 (setara)
Banyu  Urip,Assurance,0.566,0.5716,Gagal tolak H0 (setara)
Bulak  Banteng,Assurance,-0.929,0.3528,Gagal tolak H0 (setara)
Dukuh  Kupang,Assurance,0.266,0.7903,Gagal tolak H0 (setara)
Gayungan,Assurance,-0.047,0.9622,Gagal tolak H0 (setara)
Gunung  Anyar,Assurance,1.642,0.1006,Gagal tolak H0 (setara)
Jagir,Assurance,1.831,0.0671,Gagal tolak H0 (setara)
Jemursari,Assurance,-0.805,0.4206,Gagal tolak H0 (setara)
Kalijudan,Assurance,-0.48,0.631,Gagal tolak H0 (setara)
Kebonsari,Assurance,5.396,0.0,Tolak H0 — lebih sering dikeluhkan
Kedurus,Assurance,-0.819,0.4127,Gagal tolak H0 (setara)
Keputih,Assurance,0.556,0.5779,Gagal tolak H0 (setara)
Klampis  Ngasem,Assurance,0.608,0.5435,Gagal tolak H0 (setara)
Made,Assurance,0.857,0.3916,Gagal tolak H0 (setara)
Menur,Assurance,2.921,0.0035,Tolak H0 — lebih sering dikeluhkan
Morokrembangan,Assurance,0.081,0.9356,Gagal tolak H0 (setara)
Mulyorejo,Assurance,3.44,0.0006,Tolak H0 — lebih sering dikeluhkan
Ngagel  Rejo,Assurance,2.34,0.0193,Tolak H0 — lebih sering dikeluhkan
Pakis,Assurance,0.003,0.9973,Gagal tolak H0 (setara)
Putat  Jaya,Assurance,0.758,0.4484,Gagal tolak H0 (setara)
Sawah  Pulo,Assurance,-0.331,0.7407,Gagal tolak H0 (setara)
Sawahan,Assurance,-0.044,0.9646,Gagal tolak H0 (setara)
Sidosermo,Assurance,-0.495,0.6206,Gagal tolak H0 (setara)
Siwalankerto,Assurance,2.825,0.0047,Tolak H0 — lebih sering dikeluhkan
Tambak  Wedi,Assurance,-0.432,0.6659,Gagal tolak H0 (setara)
Wiyung,Assurance,0.618,0.5366,Gagal tolak H0 (setara)
Wonokromo,Assurance,1.636,0.1018,Gagal tolak H0 (setara)
Asemrowo,Assurance,-0.915,0.3601,Gagal tolak H0 (setara)
