id_puskesmas,puskesmas,wilayah,dimensi,n_ulasan,n_keluhan,komposisi_%,intensitas,intensitas_CI95,intensitas_shrunk,skor_1_5,kepercayaan,cukup_dinilai
PKM_BTL_001,Bambanglipuro,Bantul,Responsiveness,27,11,26.8,0.407,"[0.25, 0.59]",0.406,3.05,Datanya sedang,True
PKM_BTL_002,Banguntapan 1,Bantul,Responsiveness,69,28,25.9,0.406,"[0.30, 0.52]",0.405,3.02,Cukup banyak data,True
PKM_BTL_003,Banguntapan 2,Bantul,Responsiveness,89,39,27.3,0.438,"[0.34, 0.54]",0.434,3.36,Cukup banyak data,True
PKM_BTL_004,Banguntapan 3,Bantul,Responsiveness,68,23,22.8,0.338,"[0.24, 0.46]",0.348,2.32,Cukup banyak data,True
PKM_BTL_005,Bantul 1,Bantul,Responsiveness,50,23,25.8,0.46,"[0.33, 0.60]",0.449,3.71,Cukup banyak data,True
PKM_BTL_006,Bantul 2,Bantul,Responsiveness,33,20,33.3,0.606,"[0.44, 0.75]",0.551,4.78,Cukup banyak data,True
PKM_BTL_007,Dlingo 1,Bantul,Responsiveness,19,6,24.0,0.316,"[0.15, 0.54]",0.35,2.35,Datanya sedang,True
PKM_BTL_008,Dlingo 2,Bantul,Responsiveness,9,3,27.3,0.333,"[0.12, 0.65]",0.373,2.7,Data terbatas,False
PKM_BTL_009,Imogiri 1,Bantul,Responsiveness,24,8,21.6,0.333,"[0.18, 0.53]",0.357,2.42,Datanya sedang,True
PKM_BTL_010,Imogiri 2,Bantul,Responsiveness,28,16,34.8,0.571,"[0.39, 0.73]",0.52,4.43,Datanya sedang,True
PKM_BTL_011,Jetis 1,Bantul,Responsiveness,31,18,33.3,0.581,"[0.41, 0.74]",0.53,4.56,Cukup banyak data,True
PKM_BTL_012,Jetis 2,Bantul,Responsiveness,12,7,35.0,0.583,"[0.32, 0.81]",0.492,4.18,Datanya sedang,True
PKM_BTL_013,Kasihan 1,Bantul,Responsiveness,148,72,29.1,0.486,"[0.41, 0.57]",0.48,4.09,Cukup banyak data,True
PKM_BTL_014,Kasihan 2,Bantul,Responsiveness,84,40,28.2,0.476,"[0.37, 0.58]",0.467,3.93,Cukup banyak data,True
PKM_BTL_015,Kretek,Bantul,Responsiveness,26,16,33.3,0.615,"[0.43, 0.78]",0.547,4.69,Datanya sedang,True
PKM_BTL_016,Pajangan,Bantul,Responsiveness,31,18,33.3,0.581,"[0.41, 0.74]",0.53,4.56,Cukup banyak data,True
PKM_BTL_017,Pandak 1,Bantul,Responsiveness,33,12,25.5,0.364,"[0.22, 0.53]",0.374,2.76,Cukup banyak data,True
PKM_BTL_018,Pandak 2,Bantul,Responsiveness,18,8,28.6,0.444,"[0.25, 0.66]",0.428,3.3,Datanya sedang,True
PKM_BTL_019,Piyungan,Bantul,Responsiveness,40,15,24.2,0.375,"[0.24, 0.53]",0.382,2.86,Cukup banyak data,True
PKM_BTL_020,Pleret,Bantul,Responsiveness,47,23,29.5,0.489,"[0.35, 0.63]",0.471,3.99,Cukup banyak data,True
PKM_BTL_021,Pundong,Bantul,Responsiveness,29,11,22.0,0.379,"[0.23, 0.56]",0.386,2.92,Datanya sedang,True
PKM_BTL_022,Sanden,Bantul,Responsiveness,23,8,21.1,0.348,"[0.19, 0.55]",0.367,2.64,Datanya sedang,True
PKM_BTL_023,Sedayu 1,Bantul,Responsiveness,28,13,28.3,0.464,"[0.30, 0.64]",0.446,3.58,Datanya sedang,True
PKM_BTL_024,Sedayu 2,Bantul,Responsiveness,26,13,33.3,0.5,"[0.32, 0.68]",0.469,3.96,Datanya sedang,True
