id_puskesmas,dimensi,z,p_value,vs_peer,n_peer
PKM_BTL_001,Assurance,-1.122,0.2619,setara,8240
PKM_BTL_002,Assurance,1.04,0.2983,setara,8198
PKM_BTL_003,Assurance,0.13,0.8967,setara,8178
PKM_BTL_004,Assurance,-0.117,0.9067,setara,8199
PKM_BTL_005,Assurance,-1.013,0.3109,setara,8217
PKM_BTL_006,Assurance,0.222,0.8245,setara,8234
PKM_BTL_007,Assurance,0.151,0.8803,setara,8248
PKM_BTL_008,Assurance,-0.647,0.5176,setara,8258
PKM_BTL_009,Assurance,-0.886,0.3756,setara,8243
PKM_BTL_010,Assurance,-1.195,0.2319,setara,8239
PKM_BTL_011,Assurance,-0.951,0.3417,setara,8236
PKM_BTL_012,Assurance,0.464,0.6428,setara,8255
PKM_BTL_013,Assurance,-0.861,0.3892,setara,8119
PKM_BTL_014,Assurance,-0.974,0.33,setara,8183
PKM_BTL_015,Assurance,-0.552,0.5811,setara,8241
PKM_BTL_016,Assurance,-0.951,0.3417,setara,8236
PKM_BTL_017,Assurance,-1.094,0.2738,setara,8234
PKM_BTL_018,Assurance,-2.102,0.0355,lebih jarang dikeluhkan,8249
PKM_BTL_019,Assurance,-0.746,0.4554,setara,8227
PKM_BTL_020,Assurance,-1.196,0.2318,setara,8220
PKM_BTL_021,Assurance,0.137,0.8911,setara,8238
PKM_BTL_022,Assurance,-0.802,0.4227,setara,8244
PKM_BTL_023,Assurance,-1.195,0.2319,setara,8239
PKM_BTL_024,Assurance,-1.046,0.2956,setara,8241
PKM_BTL_025,Assurance,1.686,0.0917,setara,8151
PKM_BTL_026,Assurance,-0.203,0.839,setara,8156
PKM_BTL_027,Assurance,-0.723,0.4696,setara,8251
PKM_SBY_001,Assurance,1.661,0.0966,setara,8239
PKM_SBY_002,Assurance,1.661,0.0966,setara,8239
PKM_SBY_003,Assurance,0.566,0.5716,setara,8181
PKM_SBY_004,Assurance,-0.929,0.3528,setara,8201
PKM_SBY_005,Assurance,0.266,0.7903,setara,8121
PKM_SBY_006,Assurance,-0.047,0.9622,setara,8144
PKM_SBY_007,Assurance,1.642,0.1006,setara,8110
PKM_SBY_008,Assurance,1.831,0.0671,setara,8123
PKM_SBY_009,Assurance,-0.805,0.4206,setara,8192
PKM_SBY_010,Assurance,-0.48,0.631,setara,8198
PKM_SBY_011,Assurance,5.396,0.0,lebih sering dikeluhkan,8157
PKM_SBY_012,Assurance,-0.819,0.4127,setara,8203
PKM_SBY_013,Assurance,0.556,0.5779,setara,8118
PKM_SBY_014,Assurance,0.608,0.5435,setara,8196
PKM_SBY_015,Assurance,0.857,0.3916,setara,8209
PKM_SBY_016,Assurance,2.921,0.0035,lebih sering dikeluhkan,8152
PKM_SBY_017,Assurance,0.081,0.9356,setara,8167
PKM_SBY_018,Assurance,3.44,0.0006,lebih sering dikeluhkan,8194
PKM_SBY_019,Assurance,2.34,0.0193,lebih sering dikeluhkan,8179
PKM_SBY_020,Assurance,0.003,0.9973,setara,8201
PKM_SBY_021,Assurance,0.758,0.4484,setara,8189
PKM_SBY_022,Assurance,-0.331,0.7407,setara,8238
PKM_SBY_023,Assurance,-0.044,0.9646,setara,8190
PKM_SBY_024,Assurance,-0.495,0.6206,setara,8266
PKM_SBY_025,Assurance,2.825,0.0047,lebih sering dikeluhkan,8186
PKM_SBY_026,Assurance,-0.432,0.6659,setara,8215
PKM_SBY_027,Assurance,0.618,0.5366,setara,8158
PKM_SBY_028,Assurance,1.636,0.1018,setara,8185
PKM_SBY_029,Assurance,-0.915,0.3601,setara,8207
PKM_SBY_030,Assurance,-0.748,0.4543,setara,8182
PKM_SBY_031,Assurance,0.352,0.7247,setara,8221
PKM_SBY_032,Assurance,2.328,0.0199,lebih sering dikeluhkan,8133
PKM_SBY_033,Assurance,0.471,0.6374,setara,8213
PKM_SBY_034,Assurance,1.289,0.1975,setara,8125
PKM_SBY_035,Assurance,0.495,0.6204,setara,8199
PKM_SBY_036,Assurance,0.128,0.8978,setara,8218
PKM_SBY_037,Assurance,-0.352,0.7248,setara,8158
