review_id,puskesmas_id,puskesmas_name,wilayah,rating,stratum,review_text
PKM_SBY_053_R0219_b01efa78,PKM_SBY_053,Sememi,Surabaya,1,Surabaya | pendek | 1★,pelayanannya lama bangett
PKM_BTL_026_R0388_7bbbffa1,PKM_BTL_026,Sewon 2,Bantul,1,Bantul | pendek | 1★,galak2 cokk untung lg sama doi hehe
PKM_SBY_040_R0757_d97afe39,PKM_SBY_040,Ketabang,Surabaya,1,Surabaya | sedang | 1★,Pelayanan yg tidak memuaskan. Saat minta surat rujukan selalu dengan kata² yg dipantas untuk di dengar!!
PKM_SMG_035_R1797_02df63a0,PKM_SMG_035,Telogosari Kulon,Semarang,1,Semarang | pendek | 1★,Pelayanan yg kurang melayani
PKM_SBY_009_R0333_95190b55,PKM_SBY_009,Jemursari,Surabaya,2,Surabaya | panjang | 2★,Daftar online poli gigi dapat jam siang dan disuruh pulang lagi sama dokternya karena alat untuk bersihin sudah steril dan disuruh daftar lagi saja agar dapat antrian pagi besok atau 2 hari lagi lagi.. tolong lebih ramah lagi pada pasien dan saling mengerti tidak seenaknya sendiri 🙏🤗 rasanya sudah trauma kesini tapi suatu saat boleh dicoba lagi lahh...
PKM_SBY_016_R0182_1b5256e4,PKM_SBY_016,Menur,Surabaya,1,Surabaya | panjang | 1★,"Pelayanan Sangat Buruk, Jutek..saya menunggu hampir 3 jam periksanya ngga sampe 5 menit sudah selesai. Saya mau tanya mengenai sakit saya tapi dokternya ngomong terus.
Tolong Perbaiki dan Lebih Profesional Dalam Bekerja."
PKM_SMG_020_R1002_6f03e1cc,PKM_SMG_020,Mijen,Semarang,1,Semarang | sedang | 1★,Bisa gak sih semua petugas d puskesmas ini di ganti aja dr pendaftaran sampai dokternya pelayanan gak ramah sekali
PKM_BTL_024_R0009_8c8a4106,PKM_BTL_024,Sedayu 2,Bantul,1,Bantul | sedang | 1★,pelanyanan bagus cuma dipoli umum mau minta surar rujukan nunggunya lama banget.. Padahal sudah daftar dari rumah lewat apk JKN tapi tetep nunggu lama😭
PKM_SBY_042_R0057_8a32ba9a,PKM_SBY_042,Lidah Kulon,Surabaya,1,Surabaya | pendek | 1★,puskesmas kok di parkir!!
PKM_SMG_033_R1628_2d40b6e8,PKM_SMG_033,Srondol,Semarang,2,Semarang | pendek | 2★,Suntik vaksin copit. Petugas galak.
