"title","url","stars","name","reviewUrl","text"
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","3","Maulana Riski","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKYVdFSlNTRVJqZUhCVmJFcHVSMFpSWDJoUVdsRRAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOkJaWEJSSERjeHBVbEpuR0ZRX2hQWlE%7C%7C?hl=id",
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","4","Sarita Yuke","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21ObVFUbFNXVzFaVm5oTU5qaG5iR3BsU0hodU4yYxAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOmNmQTlSWW1ZVnhMNjhnbGplSHhuN2c%7C%7C?hl=id","Ini kalau sesuai permenkes , penghawaan didalam ruangan sangat tidak nyaman. Engap, perputaran udara yang minim, kurangnya exhaust fan. Tidak ada tata kelola udara didalam ruangan, AC hanya di dalam ruangan, namun para pasien dibiarkan engap diarea ruang tunggu.

Mengganggu pernapasan pada pasien dengan gangguan pernapasan, ruang tunggu diluar yang nyaman juga tidak ada. Apakah ini dinas kesehatan? Kalau memang sudah pengajuan relokasi, APA YANG MENGHAMBAT LAYANAN KESEHATAN TIDAK SEGERA DIPROSES?

Kedua apa yang harusnya steril, tapi tidsk bisa disebut steril, ada karat padahal stainless. Syaa kurang tau apakah itu alat bedah atau apa, yang jelas itu dibiarkan ditaruh pada sink yang berkarat.

Padahal layanan kesehatan sebuah proritas pada permenkes?"
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","1","Alan Ferdyan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkRk5GVnRWbmw2U3pCeExWVklXWFU1WVRsYVMwRRAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOldFNFVtVnl6SzBxLVVIWXU5YTlaS0E%7C%7C?hl=id","lama"
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","2","Qhoirul","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CU2VuTk9lRGRSVWpWMU1VdE9ObGQ0UkRGcWRYYxAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOnBSenNOeDdRUjV1MUtONld4RDFqdXc%7C%7C?hl=id","Periksa dan dapat rujukan,setelah daftar dapat kesempatan 10hari kemudian baru bisa periksa,kalau umum langsung bisa,sedang dari puskes tidak dikasih obat sama sekali,apakah memang begini nasib peserta bpjs?selalu umum yg menang,bpjs tersiksa dulu baru dapat giliran diperiksa"
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","5","Agung Yulianta","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201T1pVTjRXaTFPTlZZeVNXVjZUbkI0U0d4cFMwRRAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOm5OZUN4Wi1ONVYySWV6TnB4SGxpS0E%7C%7C?hl=id","Periksa gigi anak layanan memuaska ramah"
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","4","Sela Marselina","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21WSlNXUlpZbHBmWDI1bmJsWkJlVUk0VFZGbWVrRRAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOmVJSWRZYlpfX25nblZBeUI4TVFmekE%7C%7C?hl=id","Hari ini poli kia buka tidak ya"
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","5","yanu irawan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSRFpUUTVORGhTWW0xeGNGZ3pObWh6TVhCelJXYxAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOkRDZTQ5NDhSYm1xcFgzNmhzMXBzRWc%7C%7C?hl=id","Bagus pelayanan tindakan scaling dibagian gigi, nakesnya ramah, dan pengerjaan teliti."
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","3","gie danta","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psd05UZEtiMkptVlVSTFoycFNhVlJWUm5GQk1rRRAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOjlwNTdKb2JmVURLZ2pSaVRVRnFBMkE%7C%7C?hl=id",
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","5","R","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s5bFJFUkpTVzV0Vmw5V1oxbExkMkZsTWxKellVRRAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOk9lRERJSW5tVl9WZ1lLd2FlMlJzYUE%7C%7C?hl=id","Cukup baik"
"Puskesmas Bantul 1","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8","5","pipit lestari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGZmMxOXZSVlkzVFZwaFNrWllRVXBtTFhOWmNVRRAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CAIQACodChtycF9oOkFfc19vRVY3TVphSkZYQUpmLXNZcUE%7C%7C?hl=id","Buk bidan di KIA puskesmas bantul 1 ramah², baik dan profesional, good job👍😊"
