"title","url","stars","name","reviewUrl","text"
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","1","Rin Ditha","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSeFJrODFMWE5IYlhaQlRWOXBkVWxWUnpGMmFYYxAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOkRxRk81LXNHbXZBTV9pdUlVRzF2aXc%7C%7C?hl=id","Hari ini 14 mei 2026 sekitar jam 3 sore saya datang ke UGD dan saya pencet bel berkali2 karena anak saya demam dan ingin mendapatkan pelayanan dg cepat tapi ternyata tidak ada respon dari petugas jaga UGD disitu.  Saat bel sudah saya pencet tidak ada tanggapan, saya muter dan menelusuri ruangan puskesmas satu persatu berharap bertemu petugas karena urgent, tapi di sudut manapun tidak ketemu dan mushola pun juga tak ada orang. Ini pada kemana sih? Kecewa bgt sih baru kali ini nemu IGD gaada penjagaan sama sekali. Dan mirisnya kalau misal ada pasien yg benar2 darurat misalnya mau melahirkan atau kecelakaan lalu UGD tidak ada yg tunggu karena kelalaian petugas jaga, siapakah yang mau tanggung jawab? Pdhal saya termasuk dengan keadaan urgent dikarenakan anak saya demam 3 hari dan saya larikan UGD sore ini, tapi nihil tidak mendapatkan pelayanan yg seharusnya ☺️🙏🏻"
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","5","iniii Tia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201S2JrcFVlbEF4TkdFMmN6ZGxRbU5CY25aRVZtYxAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOm5KbkpUelAxNGE2czdlQmNBcnZEVmc%7C%7C?hl=id",
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","5","VERONICA MAYA ANANDA","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kWVkxVnhSbE5xVFhwcVlqaGxYMk5QUkhSMVMyYxAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOmdYY1VxRlNqTXpqYjhlX2NPRHR1S2c%7C%7C?hl=id","Selama praktik di Puskesmas Dlingo 1, saya mendapatkan pengalaman yang sangat berharga. Para bidan di sini tidak hanya profesional, tetapi juga sangat baik dan ramah dalam berinteraksi.
​CI Lahan adalah poin plus yang besar; Beliau sangat membimbing dan memastikan kami sebagai mahasiswa praktik mendapatkan bimbingan yang mendalam dan informatif. Suasana kerja yang kooperatif dan edukatif! Terima kasih atas dukungannya!"
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","5","Anggraeni Kurniawati","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pNd2EwaEViRXRIWlhrMWNXUlBPR0ZaWTNSTFJVRRAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOjMwa0hEbEtHZXk1cWRPOGFZY3RLRUE%7C%7C?hl=id","Sangat kompeten. Komunikatif dan cekatan. Sukses terus. Tetap rendah hati dan dedikasi tinggi untuk masyarakat demi kesehatan bersama"
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","5","Lina Sukmana","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poSlUwSlhhVk5VZW10WmJUVTRhRlEyTkZOS2FIYxAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOjhJU0JXaVNUemtZbTU4aFQ2NFNKaHc%7C%7C?hl=id","Tempat praktik yang nyaman untuk mahasiswa. Petugas ramah dan mau membimbing dengan sabar. Banyak pengalaman dan ilmu yang didapatkan selama praktik di sini. Terima kasih Puskesmas Dlingo 1 🙏"
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","5","Syakir","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SNVFUWktabDh5WW5OcVRscE9UMHBqU3pOUFpuYxAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOnR5QTZKZl8yYnNqTlpOT0pjSzNPZnc%7C%7C?hl=id","Puskesmas dlingo I pelayanannya sangat bagus, selain petugasnya yang baik, ramah"" dann cekatann, kebersihan tiap ruangan juga sangat terjaga. Semoga puskesmas dlingo I terus maju dan berkembang🤍"
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","5","eka wulandari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2sxNVZVNWxkMlJSUVZkNE5GQjRhemRKVEZSYWNuYxAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOk15VU5ld2RRQVd4NFB4azdJTFRacnc%7C%7C?hl=id","Terima kasih banyak kepada seluruh bapak ibu semuanya atas bimbingan, ilmu, dan kesempatan yang telah diberikan kepada kami selama praktik. Banyak pengalaman berharga yang kami peroleh di sini. Mohon maaf apabila selama praktik terdapat sikap atau perkataan yang kurang berkenan. Semoga Puskesmas ini semakin maju dan terus memberikan pelayanan terbaik bagi masyarakat."
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","5","N. Qurrotu Ainii","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25rdExXSnFUVmcwT1RSVGVYSkNRbXhDVUhSVlkxRRAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOnktLWJqTVg0OTRTeXJCQmxCUHRVY1E%7C%7C?hl=id","tangal 1 jan (pagi tahun baru) saya berobat di igd sini akibat diantup kalajengking. ada dokter & sus yang sigap layanin. dokternya ramah & sopan, injeksinya juga sama sekali ngga sakit. sukes terus ya 👍☺️"
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","4","Nurtikasari Nurtikasari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tsRlltZGhUMEphTjNOMVNEbFhWbVZ4ZDJGRVRVRRAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOklFYmdhT0JaN3N1SDlXVmVxd2FETUE%7C%7C?hl=id",
"Puskesmas Dlingo I","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20I&query_place_id=ChIJU1ZK1iVTei4RRwCmelMQDmw","5","Nimaturrohmah Nikmah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GZk4wSlJlRXBUZEhOTVdUWnNWSFF4UmxsSWJrRRAB!2m1!1s0x0:0x6c0e10537aa60047!3m1!1s2@1:CAIQACodChtycF9oOmFfN0JReEpTdHNMWTZsVHQxRllIbkE%7C%7C?hl=id","Sangat bagus"
