"title","url","stars","name","reviewUrl","text"
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","5","garneta salsabila","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xCTWFXaEVSRFU1UkRGME5VZGhURFV4TW5ka1YyYxAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOlBMaWhERDU5RDF0NUdhTDUxMndkV2c%7C%7C?hl=id","pelayanan yang bagus,cekatan,cepat, dan tepat"
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","5","Michaela Abygail","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wdVgwZEhaazh3YTJ3MGNqQXlaMVZ4VDAxSlMzYxAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOmpuX0dHZk8wa2w0cjAyZ1VxT01JS3c%7C%7C?hl=id","Bagus"
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","5","Sumiyatun Atun","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xsWVlXUmpjMW8wUlVsR1NtSXRjMmR2WjNkRFFsRRAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOllYYWRjc1o0RUlGSmItc2dvZ3dDQlE%7C%7C?hl=id","Pelayanan baik"
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","5","Nurul Qomariyah Maulani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOVGVWZGlTSE16ZFdNM1pHTlVNMWxOUWswMU9YYxAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOlNTeVdiSHMzdWM3ZGNUM1lNQk01OXc%7C%7C?hl=id","pelayanan bagus"
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","4","Frizca Defta Octavia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kRVRYRkZlRFpLV1VOZmFsTXhUa2xaUlVSU1YyYxAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOmdETXFFeDZKWUNfalMxTklZRURSV2c%7C%7C?hl=id","Ada beberapa nakes yang pelayanannya sangat ramah ada yang judes, kadang jam tunggu lama"
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","5","Agus Widhiyanto","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21KRVpHOTVXSEYxVmtNMWFFOVBjVUY1U1VaVU1HYxAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOmJEZG95WHF1VkM1aE9PcUF5SUZUMGc%7C%7C?hl=id",
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","5","Tinky Winky","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t0YWVsOU5hbUpLYjFSM0xWTm9UakJEYzBSdE1HYxAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOktael9NamJKb1R3LVNoTjBDc0RtMGc%7C%7C?hl=id","Pelayanan ramah,cepat dan akurat."
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","5","Intan Sejati","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xc2NURklOMDE2ZURWdVMwTlRNVmt6WmtGd2RVRRAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOm1scTFIN016eDVuS0NTMVkzZkFwdUE%7C%7C?hl=id",
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","4","ABAHE MUNA (RAHMAN)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pVemIyMVpiSEE1ZEVGMGFrNTJaMEpzVURCUFNuYxAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOjUzb21ZbHA5dEF0ak52Z0JsUDBPSnc%7C%7C?hl=id",
"Puskesmas Imogiri II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20II&query_place_id=ChIJe2YaqydVei4RtlqceP8NJDc","5","Ardi KOESNARDI","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pSeFoyRnNaelJHV25sUmRITkphV0ZyVEROd2RYYxAB!2m1!1s0x0:0x37240dff789c5ab6!3m1!1s2@1:CAIQACodChtycF9oOjRxZ2FsZzRGWnlRdHNJaWFrTDNwdXc%7C%7C?hl=id",
