"title","url","stars","name","reviewUrl","text"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Maulana Riski","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2toTk1rdzJSRWxCVEV0UlZtOXpVWEpYTUMxR2NIYxAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOkhNMkw2RElBTEtRVm9zUXJXMC1GcHc%7C%7C?hl=id",
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Galuh Ferizalia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OTFJXTTRUVTF3TFRkQ1dUQldSa1F0U21kVFZsRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOnNLRWM4TU1wLTdCWTBWRkQtSmdTVlE%7C%7C?hl=id","masyaallah tabarakallah, mau share pengalaman aku scaling (pembersihan karang gigi) di Puskesmas Pandak II. pertama dari layanan dokter yg menangani kasus keluhan gigiku, yaitu Dokter Vivid beliau baik dan ramah sekali dalam memberikan penjelasan dan pemahaman saat aku melakukan konsultasi dan juga selama proses scaling nya beliau sangat memahami pasien nya. kedua, untuk proses scaling ternyata tidak sesakit yg aku bayangkan (bahwa sampai berdarah itu sakit banget) tapi rasanya memang sedikit ngilu saat alatnya terkena gigi cuma hal tsb masih bisa ditahan, and thats okayy. jangan lupa control tiap 6 bulann yaa, mari kita lebih sayangi diri kita, jangan lupa perhatikan juga kesehatan gigi dan mulut. jangan sampai membiarkan karang gigi muncul semakin banyak, itu sangat menggangu kenyamanan dan membuat bau mulut. bahkan, saat proses pembersihan akan butuh lebih banyak effort (tentu akan membuat sedikit lebih ngilu daripada saat karang gigi kita masih sedikit). segera bersihkan karang gigi kalian yaaa. semoga ulasan ini bermanfaat yaa, terima kasih 🤗"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","4","leny novita","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tjdFVrMXdhMHR1V1ZabGMwVktNMGR4VlVzdFdYYxAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOkctUk1wa0tuWVZlc0VKM0dxVUstWXc%7C%7C?hl=id","Pelayanan sudah baik dari halaman sudah disambut dan didaftarkan oleh petugas, untuk nakesnya mohon lebih jeli dan teliti lagi dalam memeriksa pasien. Pernah meriksain anak sudah 2kali dg Dx infeksi kulit, kesini dikasih antibiotik namun belum sembuh, kali ke 3 periksa lagi mau minta surat rujukan agar pemeriksaan lebih lanjut kata dokter tidak usah padahal sudah 2 mg lebih infeksi belum sembuh tetap mau dikasih anti biotik, setelah saya ngotot minta rujukan akhirnya dokter mau periksa lab, hasil anak leukosit tinggi tanda tubuh sedang melawan infeksi. akhirnya dokter mau membuatkan surat rujukan ke RS yg diatasnya"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","1","Jarum Viper","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WNmVGbHNlaTFzY0VWVk5Vb3pOSE5KV1ZCVVVWRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOnV6eFlsei1scEVVNUozNHNJWVBUUVE%7C%7C?hl=id","Bagian pendaftaran ramah sekali, tapi begitu ketemu dokter yg agak kurus, tinggi, jutek (dibagian depan) Biasakan mendengarkan keluhan pasien dg menyenangkan, menatap pasien, care, senyumnya kayak ngejek. Ingat kalian nakes. Sama perawat yg gak pakai jilbab. Sudah banyak rewiew buruk di pandak 2, pasien berobat membutuhkan ketenangan dan kenyamanan."
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","1","Rick Kurano","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkMFNGbGpkM2hUUWxJeFMxOVhVRlZhT0cwM1EyYxAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOld0SFljd3hTQlIxS19XUFVaOG03Q2c%7C%7C?hl=id","Ra mutu pelayanan e"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Nur Lailatul Laila","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOeGMxWlFWbXRKVmxwVE5UTXlUakJhVjE5UVRYYxAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOlNxc1ZQVmtJVlpTNTMyTjBaV19QTXc%7C%7C?hl=id","Pelayanan psikologi di Puskesmas Pandak 2 sangat baik. Petugasnya ramah, sabar, dan komunikatif sehingga membuat nyaman saat konsultasi. Penjelasannya mudah dipahami dan sangat membantu. Fasilitas juga bersih dan tertata rapi. Terima kasih atas pelayanan yang diberikan 🙏😊"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Tika Athifah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xVM2JHdGtabkl5TW5kZk1tdERPVVZFWVdweWJtYxAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOlU3bGtkZnIyMndfMmtDOUVEYWpybmc%7C%7C?hl=id",
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Narko Bento","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT204eGVXVndNV3RTU0hVNVQxWk5UakppTVc1YWJFRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOm8xeWVwMWtSSHU5T1ZNTjJiMW5abEE%7C%7C?hl=id","Pelayanannya cepat dan memuaskan"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","1","Ivannia Nia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21FemVEY3paRzQwUlRnd05uRm5hMlZQWTNoQk1HYxAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOmEzeDczZG40RTgwNnFna2VPY3hBMGc%7C%7C?hl=id","Biasakan menjelaskan dengan senyum ,kata2 yg ramah meskipun itu adalah kebijakan masing-masing"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","4","Yusuf Ell Zhar","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kYVpUZFdPRjgyUWxJME5sTlNkbFZzWjJGblFWRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CAIQACodChtycF9oOmdaZTdWOF82QlI0NlNSdlVsZ2FnQVE%7C%7C?hl=id","Kesan pertama bagus, ada petugas didepan yang mengarahkan dan mencetakan antrian poli ."
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","2","Naph Naphita","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURBdXFLWFpnEAE!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgMDAuqKXZg%7C%7C?hl=id","Sudah ada toilet di luar belum?pengalaman abis pakai toilet deket tangga, diusiiirrr nggak boleh masuk katanya...pdhal tnya petugas di luar ya dtunjukinnya toilet itu..

Pernah dapet bidan yg judesnya luar biasa, nggak teliti, meriksanya kasar..

Antre obat,antrean setelahku udh dapet obat tinggal aku aja tiba2 pintu ditutup..aku ngetuk pintu kek org mau bertamu,dicek sma petugas trnyata obatku kececer..

Nilai plusnya,Dokter ramah dan komunikatif"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Sischa Chandra Perwitasari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNfejRHd0xnEAE!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgIC_z4GwLg%7C%7C?hl=id","Pelayanan bagus"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","4","septi putri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUR2OE1HeER3EAE!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgIDv8MGxDw%7C%7C?hl=id","Ijin bertanya , untuk jadwal dokter psikolog itu hari apa saya ya ? Apa harus janjian dulu atau tidak ?"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Sitti Faridha Angriani Herman","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURQMDU3RXZBRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgIDP057EvAE%7C%7C?hl=id","Paling the best sih puskesmas pandak 2
Selain pelayanannya yang baik juga bisa di jadikan tempat praktek lapangan
Kami banyak dapat ilmu dan juga para pegawainnya yang baik dan ramah
Top deh
Terima kasih puskesmas pandak 2 tetap jaya dan sukses selalu"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","2","Khanaya gladdys Anastya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUQzcV9mMl9nRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgID3q_f2_gE%7C%7C?hl=id","Dokternya galak dan pelayanan tidak ramah,tidak menyenangkan"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Lusiana","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYcXQ2aTVnRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgIDXqt6i5gE%7C%7C?hl=id","Sangat memuaskan"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","lutfiana","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYLU9Pc2hBRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgIDX-OOshAE%7C%7C?hl=id","MasyaAllah pelayanannya sabar, nganter adik cabut gigi dari nomor 3 sampe mau tutup dokternya tetep sabar"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","erlita jingga","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURYLU5TTzhBRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgIDX-NSO8AE%7C%7C?hl=id","pelayanannnya baik, ramah"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","DARKO CHANEL","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNYc3ZfRURBEAE!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgICXsv_EDA%7C%7C?hl=id","Petugas pendaftaranya ramah dan sabar. Sangat responsif"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","1","ineedagentz","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURubW9fanBBRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgIDnmo_jpAE%7C%7C?hl=id","nunggu obat 2,5 jam woi, lama bgt jir"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","1","Elsha septiani lestari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURIMU82Wl9nRRAB!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgIDH1O6Z_gE%7C%7C?hl=id","petugas ga ramah, apalagi bapak2 yang ambil sampel darah. pelayanan ambil obat lama ne pollll."
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Ratna Wati","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURIMU1xM1FREAE!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgIDH1Mq3QQ%7C%7C?hl=id","Matur nuwun Puskesmas Pandak 2 yg telah membimbing dan membina kader Posyandu dalam pelayanan siklus hidup (Integrasi Layanan Primer) di masyarakat Cengkiran..Jaya terus Pandak 2🙏"
"Puskesmas Pandak II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pandak%20II&query_place_id=ChIJH7mJf_3_ei4Rzoy2lxzanQE","5","Eka Wahyu","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ3amFtellBEAE!2m1!1s0x0:0x19dda1c97b68cce!3m1!1s2@1:CIHM0ogKEICAgID7jamzYA%7C%7C?hl=id",
