"title","url","stars","name","reviewUrl","text"
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","Aisyah Abdillah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25Cd1kxcGhSRFpVWTJndFNYRk5NM0IwV0RoZmRrRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOnBwY1phRDZUY2gtSXFNM3B0WDhfdkE%7C%7C?hl=id","Pelayanan memuaskan, mba2 pendaftarannya ramah-ramah dan sangat menjelaskan"
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","budiresty budiresty","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xCb1l6aGFaMlJ2ZGxSNGRuaDVWRVp3TkZWalJVRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOlBoYzhaZ2RvdlR4dnh5VEZwNFVjRUE%7C%7C?hl=id","Ke sini antar pakai bus calon calon dokter muda dari UAD.. tempat berada di pinggir jalan raya..dan fasilitas ok"
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","Farhan Prasetyawan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25aaGRVY3RjbWsxWjFGUE1WSnBMV1JXVWs5U05FRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOnZhdUctcmk1Z1FPMVJpLWRWUk9SNEE%7C%7C?hl=id",
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","cah kidulketep","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xsalIzRllRbEpTT1UxcU4wazNiSHBEVURBMGFsRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOlljR3FYQlJSOU1qN0k3bHpDUDA0alE%7C%7C?hl=id",
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","Ipho silvia Alkisna","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tnNUxVbFhRWEJTVlhBeVNGVkpSVlJqUzFsaVNWRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOkg5LUlXQXBSVXAySFVJRVRjS1liSVE%7C%7C?hl=id","Pelayanan bagus dan ramah"
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","Upi Purwanti","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xsUmFpMVlSa2RIVlRSeVNIWnVhWE0zVjFFNFdGRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOllRai1YRkdHVTRySHZuaXM3V1E4WFE%7C%7C?hl=id","Pelayanan sangat baik"
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","Latifah Novia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2w5cVJrZFNPRWhGYmkxTGQyOHpRMGhJVmtaMlpWRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOl9qRkdSOEhFbi1Ld28zQ0hIVkZ2ZVE%7C%7C?hl=id","Alhamdulilah sudah berhasil cabut giginya untuk yang ke 4x nya terimakasih bu Dokter Erika"
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","Novia Nuraisyah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tkZllYZEhjamxXYlRNM2FUVlhZbnBPYW1rME5WRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOkdfYXdHcjlWbTM3aTVXYnpOamk0NVE%7C%7C?hl=id",
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","Sena Daffa","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkVGVtWjVkRkExVld0MmMyMHhSeTF0YURORk1VRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOjdTemZ5dFA1VWt2c20xRy1taDNFMUE%7C%7C?hl=id","Pelayanan sangat baikkk"
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","1","Vera Nita","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21sMFQzUnlOalJyVlRaR2VUZEljR2RzVDJJMlYxRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOml0T3RyNjRrVTZGeTdIcGdsT2I2V1E%7C%7C?hl=id","Pelayanan sangat buruk baru 2 hari kemarin .saya mngantarkan om saya karena sedang sakit .sampai pkm lampu UGD sudah dimatikan padahl baru jam 10 malam .dokter jaga tidak ada .hanya seorng laki2 yg datang .hanya ditensi dan malah disarankan untuk periksa besok paginya ke dokter kluarga .kita tu dtng ke pskmas untk priksa biar dpt prtolngan prtma bagaimana. Jelas2 dari keluhan om saya muntah 3 x. tensi tinggi ,dan ada kelmhan anggota gerak sblh kiri .knp mas malah disurh plng !!!!!!!!!.kalau dri anmesa sprti itu bukannya dx mengarah ke sp.stroke ??lngsung malmnya saya bawa ke rsud dan disana opname .sangat tidak layak pskmas mlyani 24 jam .tetapi dokter jga tidak ada ..mohon dinas utk minjaklanjuti ."
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","bahrudin nur","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Sck9IQnJiWEI2TTBkTWNVNXhXR2hTYjNkTGFWRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOmRrOHBrbXB6M0dMcU5xWGhSb3dLaVE%7C%7C?hl=id","pelayanan poli gigi sangat baik, petugasnya ramah"
"Puskesmas Sanden Kabupaten Bantul (IGD)","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sanden%20Kabupaten%20Bantul%20(IGD)&query_place_id=ChIJOW9w59gBey4Rpl2HVRapx9Q","5","Yuliani Susanti","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oc05VWm1hV0ZVWVRWaVgxbDFXa0psWTNCQ1RWRRAB!2m1!1s0x0:0xd4c7a91655875da6!3m1!1s2@1:CAIQACodChtycF9oOnhsNUZmaWFUYTViX1l1WkJlY3BCTVE%7C%7C?hl=id","Antar anak cabut gigi. Kata anak saya tidak sakit,tidak terasa pas dibius. Dokternya cantik dan ramah. Terima kasih dokter, anakku jadi tidak takut ke dokter gigi."
