"title","url","stars","name","reviewUrl","text"
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","5","TEGUH ARIYANTO","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201TVkydGtVMG80ZDNWVVFWSm1TekZHVDNaNVNWRRAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOm5MY2tkU0o4d3VUQVJmSzFGT3Z5SVE%7C%7C?hl=id",
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","5","Devia Anggraini (Devi)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oMFNEQkJRMnBVV2xCVlpUVXdiakE1UW5ablozYxAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOnh0SDBBQ2pUWlBVZTUwbjA5QnZnZ3c%7C%7C?hl=id","First datang ke psikolog karna ke inginkan sendiri, awal nya iseng, dan alhamdulillah ada psikolog nya dan psikolog nya super duper ramah humble merangkul banget, staf2 yang lain juga sangat ramah. Pelayanan sangat bagus, yg hitungnya aku baru pertama ke pus sewon 2 dan bukan faskes ku tapi tidak di bedakan sama sekali.

Jangan lupa kepsikolog pus sewon 2 yaa, karna psikolog bukan hanya untuk masalah yg berat tapi bisa jadi sahabats untuk tempat sharing terbaik dan aman."
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","1","akun cantik","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201dmN6STViRXB3WlRCVU1qWTVSV3N3Y0ZaWWFYYxAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOm5vczI5bEpwZTBUMjY5RWswcFZYaXc%7C%7C?hl=id","tolong untuk dokter jika memeriksa pasien dengan diagnosa yang benar, sering sekali periksa dengan dokter laki”didiagnosa yang berbeda beda dan tidak ada penyelesaian, bahkan pernah tindakan kuku dengan beliau tapi hasilnya tidak bagus, padahal dulu pernah tindakan kuku juga tapi bagus hasil nya."
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","5","Tantri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25RNGRXVk9ZMGN6YURCcGFVWlBZMUowUlRKcFFWRRAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOnQ4dWVOY0czaDBpaUZPY1J0RTJpQVE%7C%7C?hl=id","Sebagai pendatang ini termasuk puskesmas yg bagus, pelayanan ramah & satset
Tapi pasiennya juga entah sengaja atau gimana namanya dipanggil sampe berkali² gak nyaut, pas udah kelewat baru nyaut

Buat kalian yg kesini saran aja kalo nomor antrean belum dipanggil, yg fokus gais
Kasian petugasnya manggilnya dari pake speaker sampe dipanggil manual padahal,

Saran aja buat management tambahin security dibagian pendaftaran depan sama lansia
Soalnya tadi dibagian depan petugasnya dibentak² pasien perkara ditanya data pasien,
sama kalo di lansia kadang pengantar gak mau ngasih tempat duduk ke pasien,
Sama biar kalo mau tanya² gak perlu ganggu dokter yg jaga, kita bisa tanya ke security nya

Semua petugas yg saya temui hari ini ramah², bag.informasi, pendaftaran , bagian lansia, kasir, terutama Dokter dibagian lab
Kalau bagian lain belum coba, terimakasih Ibu Dokter Lab & team, anak saya gak trauma disuntik, happy banget dia cerita²🤗🤗🤗"
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","1","Utia Kafafa","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tZd1dWcGlPRGx0VkVObFl6Z3lXWFl4VDJsT2NsRRAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOkYwWVpiODltVENlYzgyWXYxT2lOclE%7C%7C?hl=id","perbaiki layananmu, dokternya jg tuh ditanya. saya udh bilang sakit apa dari kapan malah dikira sok diagnosis sendiri, sakit dikasih pereda nyeri doang ga dikasih obat ngilangin penyakitnya. ganti tuh layanin masyarakat yg layak!!!"
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","5","Ika Ika","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT210Qk5EUlNVbVY2VkRsalpWSmFObk5zVFhVMU5VRRAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOmtBNDRSUmV6VDljZVJaNnNsTXU1NUE%7C%7C?hl=id",
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","3","Riris Lestariana","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kZlkyUndiR2M0UkhSa0xVMUlMVlJGT0ZGUk1tYxAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOmdfY2RwbGc4RHRkLU1ILVRFOFFRMmc%7C%7C?hl=id","Hadehhhh farmasinya lelet.
Trs itu anak magangnya, udah tau salah antri ga ditunjukin mana tempat antri yg bnr, udah nunggunya lama! Ternyata salah tempat, pantesan saya ga dipanggil"""
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","5","Todoroki Murayama","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xRMFlWaDZSRGMzWXpkdFJFVjBPVGswYWpsV2FuYxAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOlQ0YVh6RDc3YzdtREV0OTk0ajlWanc%7C%7C?hl=id","Syarat untuk Tes catin apa saja ya yg perlu dibawa?"
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","5","Septia Nur Aliffah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21oVVNFTlhhRzlNY0djNU1HOTROMDFVTjFReFptYxAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOmhUSENXaG9McGc5MG94N01UN1QxZmc%7C%7C?hl=id","Pelayanan cepat dan ramah"
"Puskesmas Sewon II","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sewon%20II&query_place_id=ChIJE446Lk9Wei4RoIvHItkY-i4","5","Gelis Indriani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWd01IaHlORVZ3Y0RscGRYVlNia054WkZoSGRYYxAB!2m1!1s0x0:0x2efa18d922c78ba0!3m1!1s2@1:CAIQACodChtycF9oOlVwMHhyNEVwcDlpdXVSbkNxZFhHdXc%7C%7C?hl=id","Pendaftarannya cepat,ramah, dan jos jissss bestii mantabbb 🤩🤩🤩"
