"title","url","stars","name","reviewUrl","text"
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","5","Wartopo. topo","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNla3FXc3p3RRAB!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CIHM0ogKEICAgICekqWszwE%7C%7C?hl=id","Pelayanan sangat baik dan ramah mudah diakses dari domisili saya di meteseh boja dan para petugas sangat menghargai orang tua ,tapi yang lebih baik lagi kalo dr praktek bisa dibuat agak permanen, misal untuk lansia Hasri Senin dr. Aris, Selasa dr. A, Rabu dr. Aris. Kamis, dr. Wanita ? , Jumat dr. B./A, Sabtu Dr. Wanita ? Jadi lebih familiar khusus lansia lo bapak ( itu usul soalnya puskemas Mijen layak menjadi rumah sakit menurut pandangan saya"
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","2","Rizki Avrida","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CU04waHVNWFZyUmpCRGR6VndWMTlJZDNjeVIyYxAB!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CAIQACodChtycF9oOnBSN0huMXVrRjBDdzVwV19Id3cyR2c%7C%7C?hl=id",
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","5","Sofiana Tri Utami","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SSExXOVlORGd6YURBMVJ6WlNUMnhTT0hoc1dHYxAB!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CAIQACodChtycF9oOnRHLW9YNDgzaDA1RzZST2xSOHhsWGc%7C%7C?hl=id",
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","5","matcha latte","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCNVdFSlFXV2xrY3pKRFJWaEtOMnBhUTNSdU5WRRAB!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CAIQACodChtycF9oOjB5WEJQWWlkczJDRVhKN2paQ3RuNVE%7C%7C?hl=id",
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","1","Cindy Clara","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT210eFNuaGFXa1pTVGtwSGNtNHhTVWt6VUZobVpHYxAB!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CAIQACodChtycF9oOmtxSnhaWkZSTkpHcm4xSUkzUFhmZGc%7C%7C?hl=id","Hari ini banget super duper antrian lab lama banget ,keluar hasilnya pun lama
Sudah gitu tolonglah kak kamar mandi aroma pesingnya kecium bgt diantrian lab
Sudah gitu antri obat lama bgt gataunya petugas manggil gk pakai mic cuman suara biasa aj
Saya tunggu didepan krna kursi penuh semua dan banyak orang antri berdiri biasanya antrian obat denger sampek keluar atau denger dri poli mana aja
La kok giliran ditanya jawabn petugasny sudah saya panggil daritadi
Sementara sya lihat pakai mata semdiri kebanyakan dipanggil hanya pakai suara biasa gak pakai mic.. Pakai mic hanya 1 2x aja
Males bgt lama dalam segala antrian padahal sudah booking juga"
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","5","Yasmin AD","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKRGRUSkhORTFXV21KNFUxRldRM0JYUVZVM2JrRRAB!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CAIQACodChtycF9oOkJDdTJHNE1WWmJ4U1FWQ3BXQVU3bkE%7C%7C?hl=id","ckg baik, petugasnya ramah dan edukatif"
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","5","agatha lany","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wMlVqVnpXSFl4VUhCZlNIcE5iSFpxYkRJMVVGRRAB!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CAIQACodChtycF9oOmp2UjVzWHYxUHBfSHpNbHZqbDI1UFE%7C%7C?hl=id","Pemeriksaan CKG baik dan lancar.
Petugas ramah dan baik"
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","5","Erna Leonita","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnTURBaXRDUGZBEAE!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CIHM0ogKEICAgMDAitCPfA%7C%7C?hl=id","Pelayanannya baik....petugasnya ramah"" .....tempatnya bersih & nyaman.....👍"
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","5","Fadhila Agung Farahdhiya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pBNVZXUlVVRFYzUVZoc1ptUXlOWGRSUVhOMVlWRRAB!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CAIQACodChtycF9oOjA5VWRUUDV3QVhsZmQyNXdRQXN1YVE%7C%7C?hl=id","pemeriksaan ckg baik dan lancar"
"PUSKESMAS MIJEN","https://www.google.com/maps/search/?api=1&query=PUSKESMAS%20MIJEN&query_place_id=ChIJaxn7nJBjcC4RS8gc3sBjVAs","5","Tanzil Ia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xYU5GTkZhVXAzV0RFelRVSndjVmRhTlROTmRFRRAB!2m1!1s0x0:0xb5463c0de1cc84b!3m1!1s2@1:CAIQACodChtycF9oOm1aNFNFaUp3WDEzTUJwcVdaNTNNdEE%7C%7C?hl=id","CKG d forest hill baik dan lancar"
