"title","url","stars","name","reviewUrl","text"
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","Budi Himawan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pOVmEyeENlamxMZWxGWGJFeEpRbmwwWW1kV1IxRRAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOjNVa2xCejlLelFXbExJQnl0YmdWR1E%7C%7C?hl=id","Saya puas dengan kecepatan tindakan Pkm Miroto atas permohonan UHC yg saya ajukan. Terima kasih semoga Pkm Miroto semakin baik dalam menangani kesehatan masyarakat."
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","Disni Asih","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT214V2FtZElVMWhqYW0xcWJIRTJiV2d6UTBoVlgzYxAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOmxWamdIU1hjam1qbHE2bWgzQ0hVX3c%7C%7C?hl=id","Pelayanan loket pendaftaran istimewa, cepat pelayanan nya, pegawainya semua nya ramah dan sopan, terimakasih"
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","Keiza Azahra","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGNlYydG1NbW94Ym05bFJGRnVlRVZVTkdjMVUzYxAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOjF6V2tmMmoxbm9lRFFueEVUNGc1U3c%7C%7C?hl=id","tempat bersih, bagus, dan nyaman"
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","rizqa ananta","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21OdGJVZGlaMjQyWjBSV1VWRnBTak5LZEdoR2QzYxAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOmNtbUdiZ242Z0RWUVFpSjNKdGhGd3c%7C%7C?hl=id","Puskesmasnya sangat nyaman, adem"
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","zulfa nabila putri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CM1NXMWlRbWhWTTJWeVJuZEhaREJzTFVRMWFVRRAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOnB3SW1iQmhVM2VyRndHZDBsLUQ1aUE%7C%7C?hl=id","puskesmasnya bersih, pelayanan baikk, ahli gizinya juga ramah dan baik"
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","ashwaseyllamonica","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKTlgya3lNbVZpVnpSSFdIcHdjMXB5Y1d0NWIxRRAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOkJNX2kyMmViVzRHWHpwc1pycWt5b1E%7C%7C?hl=id","pelayanan pada loket sangat bagus,baik dan memberikan informasi secara jelas. pelayanan pada poli juga sangat baus dan memuaskann🥺🫰🏻🫰🏻🫰🏻"
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","ailsa nab","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xSGFrNUhhM2szVTJjd1dXNDFZVGhvYWxSd2EwRRAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOm1Hak5Ha3k3U2cwWW41YThoalRwa0E%7C%7C?hl=id","Puskesmasnya bersih, semua petugasnya sangat ramah"
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","Dea Putri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GQlFrMVdNMTlaVmxveVRrWnZabk5OVUVSeGVFRRAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOnFBQk1WM19ZVloyTkZvZnNNUERxeEE%7C%7C?hl=id","rapih, bersih, nyaman, petugasnya ramah-ramah"
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","diva nayla","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25jemVHWTJlbTVyZDIxMWRUWXplVEIzTjNCS1RuYxAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOnczeGY2em5rd211dTYzeTB3N3BKTnc%7C%7C?hl=id","Puskesmasnya bersih dan rapih"
"Puskesmas Miroto","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Miroto&query_place_id=ChIJIZS9IFGLcC4RKr2NYvR1oGk","5","salwa nasywa","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pJMmNsQXdUMDF2TFZsdE1YcExSVll4VWxkRFZXYxAB!2m1!1s0x0:0x69a075f4628dbd2a!3m1!1s2@1:CAIQACodChtycF9oOjI2clAwT01vLVltMXpLRVYxUldDVWc%7C%7C?hl=id","puskesmas bersih rapi teratur, untuk ci gizi baik ramah"
