"title","url","stars","name","reviewUrl","text"
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","5","Zand Kardi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT204NFYyVmZXR3R4YWpkWGJWWnRNMnRKWTBSdVFWRRAB!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CAIQACodChtycF9oOm84V2VfWGtxajdXbVZtM2tJY0RuQVE%7C%7C?hl=id",
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","1","Adhy Herlambang","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkTlZsQjFXSFJNVGxKaVpVaHZUREZpTmtVNE5XYxAB!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CAIQACodChtycF9oOldNVlB1WHRMTlJiZUhvTDFiNkU4NWc%7C%7C?hl=id","untuk antrian obat lelet sekali,terlalu lama antri.kasian yang sudah tua.
dipercepat ya,ditambahi yg nglayani obat.ben ndang sat set"
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","5","aisha zahra","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25KUlNWOTFkRVJ4VUVsdVRscHRhalYzT1hWS1pHYxAB!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CAIQACodChtycF9oOnJRSV91dERxUEluTlptajV3OXVKZGc%7C%7C?hl=id",
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","5","Artik","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kVE4xRnFaVkl3U1hCZmRFMU1aVnBuYXpsV2RXYxAB!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CAIQACodChtycF9oOmdTN1FqZVIwSXBfdE1MZVpnazlWdWc%7C%7C?hl=id",
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","5","Putri Aisyah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paR05teEdYMEU0TFZOdFEzUkNZVUYzWjJsaFUwRRAB!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CAIQACodChtycF9oOjZGNmxGX0E4LVNtQ3RCYUF3Z2lhU0E%7C%7C?hl=id","Puskesmase apik, mantap jiwa 🥰🥰"
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","2","Mas Denn Ff","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNwX1kyZkFnEAE!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CIHM0ogKEICAgICp_Y2fAg%7C%7C?hl=id","Nunggu obat dari jam 9.20 nyampe jam 10 lebih blm di panggil2 jg.
Yang sakit tmbh sakitt grgr nunggu obat lama
Apoteker di dalem mainan hp"
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","5","mba tobrut","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2twaWNtaFRNMjFEVFdGV2VVMTNkVkYxYUdGTVdYYxAB!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CAIQACodChtycF9oOkpicmhTM21DTWFWeU13dVF1aGFMWXc%7C%7C?hl=id","Saya sering datang ke puskesmas ngemplak simongan ini  , cuma saya mau tanya apakah bisa? saya mau memeriksakan dan anya2 perihal mata saya yg kayanya iritasi karna kontak soflens"
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","5","Sigid Setyono","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WeU1sQjVjRE5LY2tWaGJEQjBZakExZVc5aGMwRRAB!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CAIQACodChtycF9oOnVyMlB5cDNKckVhbDB0YjA1eW9hc0E%7C%7C?hl=id","Tempat sempit namun nyaman dan berAC"
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","5","reni rimaya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xrNVZ6VjBjbEowUnpkUVltMW1Ta3RGY1hGbFFsRRAB!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CAIQACodChtycF9oOlk5VzV0clJ0RzdQYm1mSktFcXFlQlE%7C%7C?hl=id","Pelayanan bagus"
"Puskesmas Ngemplak Simongan","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ngemplak%20Simongan&query_place_id=ChIJ-2vyDxeLcC4Re6-GbVi8BPg","5","Romy Trc","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT210VGNFYzFiazB4TjNOMFZtSlZlVVZKZDA1d1YzYxAB!2m1!1s0x0:0xf804bc586d86af7b!3m1!1s2@1:CAIQACodChtycF9oOmtTcEc1bk0xN3N0VmJVeUVJd05wV3c%7C%7C?hl=id",
