"title","url","stars","name","reviewUrl","text"
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kRWMyVjNPVTlhTjJOTVFqQnhUbFZhZFV4TVNHYxAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOmdEc2V3OU9aN2NMQjBxTlVadUxMSGc%7C%7C?hl=id",
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","3","Septian Anggraeni","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT213ek9WVmtWVWN3YWs1aWNXSjJhRGxSUkhneGFVRRAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOmwzOVVkVUcwak5icWJ2aDlRRHgxaUE%7C%7C?hl=id","saya periksa di tgl 13 Mei 2026 disore hari didokter umum puskesmas layannya dokternya tidak rama sama sakali, apa mungkin ya di pasien lainnya pelayanannya seperti itu atau gimana ya"
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","5","Chalimatus Diyah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkMVpVOTZPRXRDVlVOU2IxcG9OMHRGYWtOeFUzYxAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOjd1ZU96OEtCVUNSb1poN0tFakNxU3c%7C%7C?hl=id","pelayannya sangat ramah"
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","5","choco","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xkTmVEZERlalZIVmpZelJEbEpSVVV6WTFaM2RVRRAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOldNeDdDejVHVjYzRDlJRUUzY1Z3dUE%7C%7C?hl=id",
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","1","y","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOaFZ6SmlRbEJKUmxsTFNUVlFiMmwyVTFaeE4yYxAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOlNhVzJiQlBJRllLSTVQb2l2U1ZxN2c%7C%7C?hl=id","ngaur"
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","1","uwais al qorni","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xGRVdVaDNhamhIUTI5Q00zTnFVRVZRWjFKbGIwRRAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOlFEWUh3ajhHQ29CM3NqUEVQZ1Jlb0E%7C%7C?hl=id",
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","3","Silvia L.A (Silvi)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t0WldUUlRTRzVOZVhVNE4ycEtOM2hMYVU4eVRuYxAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOktZWTRTSG5NeXU4N2pKN3hLaU8yTnc%7C%7C?hl=id",
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","1","Wahyu Dayat","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GUFgzZGtRMGR0WXpGdE1UbEJOVGRYT1VNMmJWRRAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOmFPX3dkQ0dtYzFtMTlBNTdXOUM2bVE%7C%7C?hl=id","Wes gak mampu masak pihak keluarga gak boleh njenguk meskipun jam jenguk udah selesai ....
Saya udah jauh2 datang lho...
Dan satpam nya jangan sok sok an ....kalo ngomong....kecewa polll"
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","4","Anam Fadli","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWeVZVSXRaV0Z2TkdkMmVWOW5VSEJoZDBoVVJIYxAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOlVyVUItZWFvNGd2eV9nUHBhd0hURHc%7C%7C?hl=id","ok"
"Puskesmas Pakis","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pakis&query_place_id=ChIJL-iCGu771y0RhiRTdtkiO9Q","5","Vita Cantiex","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xNdGRsVnlXa0pPUWtOWlJ6azFNMk5aUVdkR05IYxAB!2m1!1s0x0:0xd43b22d976532486!3m1!1s2@1:CAIQACodChtycF9oOlMtdlVyWkJOQkNZRzk1M2NZQWdGNHc%7C%7C?hl=id",
