"title","url","stars","name","reviewUrl","text"
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21WS1pqaGFiREYxZEdSaWREUmFjelpKUW5WNU9WRRAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOmVKZjhabDF1dGRidDRaczZJQnV5OVE%7C%7C?hl=id",
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","eis wahyudi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25kRldubElWVFpwY21kWlVUQXpPRTB4WDJKU2FHYxAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOndFWnlIVTZpcmdZUTAzOE0xX2JSaGc%7C%7C?hl=id","PELAYANAN ⭐⭐⭐⭐⭐"
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","Imam Fauzi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1dlEwTjFRUzFLWlY5S01XNVlVbTkzVEdOM05WRRAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOk5vQ0N1QS1KZV9KMW5YUm93TGN3NVE%7C%7C?hl=id",
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","1","Dhea Chivers","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201cmRUTlFTMFpETlY5d1h6SmhNRTFUY3poNGRuYxAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOm5rdTNQS0ZDNV9wXzJhME1Tczh4dnc%7C%7C?hl=id","Pelayanan kurang, ketika anakku kena pukul orang (tidak normal) sampai mimisan darah keluar (ada memar bagian pipi kiri dan hidung sakit) pihak dokter anak cuma di lihat dan di pegang saja lukanya dan di center hidung dalamnya  tanpa ada pembersihan luka dll. Tanpa ada arahan juga dari dokter pukesmasnya.
Malah saya sendiri yg bersihkan lukanya dengan air dan tisu tanpa ada arahan pembersihan mimisan dan pipinya.
Ya saya tau kalau saya free tidak bayar, setidaknya ada pertolongan dan pelayanan yg memuaskan buat masyarakat.Meskipun bayar saya juga tidak keberatan demi anak saya berobat.
Sangat tidak di sayangkan kalau pelayanan kurang mengerti.
Trima kasih"
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","Wahib Ahmadi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tkNGFVTlViVlJoWjJGQ09VdFZNM041TVdzMk9YYxAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOkd4aUNUbVRhZ2FCOUtVM3N5MWs2OXc%7C%7C?hl=id","Pelayanan bagus"
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","Suyoto","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1aVpFVlRVVmRtVjJsUFlVdExUMHBxY2xkS05HYxAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOk5iZEVTUVdmV2lPYUtLT0pqcldKNGc%7C%7C?hl=id",
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","1","Holilah Murnim","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWWVNqZEZUSEoyWDFWUFVIQlllRmMyV1hoNGNGRRAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOkVYSjdFTHJ2X1VPUHBYeFc2WXh4cFE%7C%7C?hl=id",
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","Hari Susilo","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GblZUbE5UVTU2Y0VGQk5WWlRiamx5UW1WWVJuYxAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOmFnVTlNTU56cEFBNVZTbjlyQmVYRnc%7C%7C?hl=id","Terimakasih Bu dokter puskesmas putat jaya salep bengkak dan obat antibiotik nya sangat manjur dan cepat kering pada luka
Salep nya sangat baik juga buat luka gatal² anak saya ❤️🙏🙏"
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","novy vivianty","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25ONE1uVmZibWx3ZEVGamJpMDRRbGRRY2pWQ01VRRAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOnN4MnVfbmlwdEFjbi04QldQcjVCMUE%7C%7C?hl=id",
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","Leonardo Aditya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2todVJWbFhhMWRvWkVkWlVuVXhWblZEY2twYU0zYxAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOkhuRVlXa1doZEdZUnUxVnVDckpaM3c%7C%7C?hl=id","Pelayanan baik dan luka saya sembuh allhamdulilah dokter ramah"
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","Umar Farouq","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GMFMyNUhSalJKTWt4RGRtUXhVVzg1VEZneU5rRRAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOmF0S25HRjRJMkxDdmQxUW85TFgyNkE%7C%7C?hl=id",
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","3","Tio Huri saputra","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xOUmFrdE5XbTFIUjBKMVZWSnBSekU0Tld4UFEzYxAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOlNRaktNWm1HR0J1VVJpRzE4NWxPQ3c%7C%7C?hl=id",
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","5","Mega Wati","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21jeExVNHROVGg2YVY5S1h6TnJWRzFSVUV0T1ZGRRAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOmcxLU4tNTh6aV9KXzNrVG1RUEtOVFE%7C%7C?hl=id","Pelayanan sangat baik"
"Puskesmas Putat Jaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Putat%20Jaya&query_place_id=ChIJUayaaff71y0Rh2kYyZQ_9KM","3","Muhammad Farhan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGZlZUQXljVVl6ZVhjek5FeFVMVFYyZDBNNVVVRRAB!2m1!1s0x0:0xa3f43f94c9186987!3m1!1s2@1:CAIQACodChtycF9oOjFfVTAycUYzeXczNExULTV2d0M5UUE%7C%7C?hl=id","Terkadang didlam bnyk dokter tp yang antri masih full diluar . MNRT ku kurang gercep pelayanan. Tolong LBH ditingkatkan lagi.  KRNA yg ksna jg untuk berobat ."
