"title","url","stars","name","reviewUrl","text"
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","5","Muhammad Rudi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GWk5XRTBXWEE0UlZsbVdrMVhOWFkwWlhSSGQyYxAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOnFZNWE0WXA4RVlmWk1XNXY0ZXRHd2c%7C%7C?hl=id","bagus"
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","5","Jamal Hakim","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pVNGMzWnljM1UzTFdwWGJUWTRRekZRVEVSbE1rRRAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOjU4c3Zyc3U3LWpXbTY4QzFQTERlMkE%7C%7C?hl=id","Daftar online tidak sesuai estimasi di undur di daftarkan ulang kembali seperti di Kemenkes mantap"
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pWbVJVdElXVVExVlhJMFFXSnllRWx4ZFhsalJHYxAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOjVmRUtIWUQ1VXI0QWJyeElxdXljRGc%7C%7C?hl=id",
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","5","fifi unyu","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWNk0yb3pjakoyU1hReFJrbDRkSFZGT0RoVmJYYxAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOlV6M2ozcjJ2SXQxRkl4dHVFODhVbXc%7C%7C?hl=id","Adek vista ramah baik pelayanan e baik cepet gercep aku sukak pelayanannya."
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","2","amelia wijaya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2twaWJFcDBXV2h6V1haUWNEZEtTSEJQZFZWeFlXYxAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOkpibEp0WWhzWXZQcDdKSHBPdVVxYWc%7C%7C?hl=id","untuk ibu LEDY WIDJIASTUTIK tidak punya sopansantun, pasiennya saja di marah marahi, tlong ajarin dlu sopansantun LEDY WIDJIASTUTIK"
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","3","Faizah Hafa","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pocFFsTm1ZM0pVYlVwdGExRndOVGd0TjAxcFoxRRAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOjhpQlNmY3JUbUpta1FwNTgtN01pZ1E%7C%7C?hl=id","Pelayanan dari pertama ok, saat udh di laboratorium lamaa anak mau cek darah keburu meninggal maf ya emang kenyataan ngg suka pelayanan di laboratorium nya tolong di perbaiki"
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","5","Yoriston Mads","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xSVGEwSlVUVGx3UlZCUFNYaDRVMEpyZWtKb1ZFRRAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOlRTa0JUTTlwRVBPSXh4U0JrekJoVEE%7C%7C?hl=id",
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","5","Nila Damayanti","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxaVZ6SlFWRUU1ZG5GM2VVZGhNR3B1U2pONGFsRRAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOi1iVzJQVEE5dnF3eUdhMGpuSjN4alE%7C%7C?hl=id","penanganan sangat cepat dan fasilitas bagus"
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","5","FiLdza Lovelia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tsdlVEWTRTeTFIYlY5b09UZHNWV1IzZDJnNGEyYxAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOklvUDY4Sy1HbV9oOTdsVWR3d2g4a2c%7C%7C?hl=id","Pelayanan di Puskesmas Sawah Pulo sangat memuaskan. Petugasnya ramah, sigap, dan memberikan penjelasan yang jelas kepada pasien sehingga terasa nyaman dan tidak membingungkan. Proses pendaftaran hingga pemeriksaan berjalan cukup tertib dan efisien. Fasilitas yang tersedia juga cukup lengkap dan terjaga kebersihannya. Secara keseluruhan, pengalaman berobat di sini memberikan kesan positif dan menunjukkan komitmen yang baik dalam memberikan pelayanan kesehatan kepada masyarakat."
"Puskesmas Sawah Pulo","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Sawah%20Pulo&query_place_id=ChIJk42mYOH41y0RS23q9rlxGdY","5","Nadinza Sugianto","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oU1kwVTFkR0YwV21Fd1RrNXBWek5JVGxNemVHYxAB!2m1!1s0x0:0xd61971b9f6ea6d4b!3m1!1s2@1:CAIQACodChtycF9oOnhSY0U1dGF0WmEwTk5pVzNITlMzeGc%7C%7C?hl=id",
