"title","url","stars","name","reviewUrl","text"
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","5","Tazakka Putri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21sMVowRlFZM0JVZEROV2NYSk5iR3R3WkZjeE5GRRAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOml1Z0FQY3BUdDNWcXJNbGtwZFcxNFE%7C%7C?hl=id","Pelayanannya baik dan ramah"
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","1","Film Media","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psaFZsZFFObGhmTjFsamJHNVRZMW8wYlRCMVdsRRAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOjlhVldQNlhfN1ljbG5TY1o0bTB1WlE%7C%7C?hl=id",
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","4","Eka Okta","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tWaFExWXpZbWhNTm5aWlpqUjNXVlZYUjNkdlozYxAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOkVhQ1YzYmhMNnZZZjR3WVVXR3dvZ3c%7C%7C?hl=id",
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","5","Suparmi 1278","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKWldWOWlkV3hEZEdOTVNrVmFPWEEwYzBaV1YwRRAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOkJZWV9idWxDdGNMSkVaOXA0c0ZWV0E%7C%7C?hl=id","Mantap"
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","1","MAHSA (MAHSA)","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pOaFFXeEJUVTl4TjBKQ01tSnphRnB0ZVZJdFIzYxAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOjNhQWxBTU9xN0JCMmJzaFpteVItR3c%7C%7C?hl=id","Salah satu dokter gigi kurang profesional. Jadi kurang cocok untuk menceritakan keluhan yang ada selama hampir 5 tahun yang ada pada diri saya."
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","5","Andre Saputra","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKSFZEaFBaREZsVW5BMVEwVlFSRUZmYVdGWFYzYxAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOjJHVDhPZDFlUnA1Q0VQREFfaWFXV3c%7C%7C?hl=id",
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","5","Evy Agnessylviana","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25reGVqQXhkRzV0ZGpOMk1ITTFTa3hxWVY5WFNIYxAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOnkxejAxdG5tdjN2MHM1SkxqYV9XSHc%7C%7C?hl=id","Kesini buat tes kesehatan catin, sangat informatif dan solutif. 👍👍"
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","1","Ayun Imama","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CbFUxZ3dlblU0U0dSV1JEVnlRbEJoY20xSGJIYxAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOnBlU1gwenU4SGRWRDVyQlBhcm1HbHc%7C%7C?hl=id","Pelayanan super lama, gak di info dari awal kalo gabisa diproses disini . Udah disuruh fc KK dll dan antri lama bgt . Ujung""nya di tolak . Gak jelas banget buang"" waktu org"
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","5","Ayzka Apriliani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT210R1YwYzBVMHRJYWxsNFJHRm9PRE5TTjI4eFVHYxAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOmtGV0c0U0tIall4RGFoODNSN28xUGc%7C%7C?hl=id","Pelayananya sekarang cepat, dokter KIA sangat sigap dan gampang kalau minta rujukan sangat terbantu sekali. Terimakasih puskesmas kalirungkut tetap jaga layanan dengan setulus hati supaya yang sakit mau berobat kesini dan sangat membantu orang yang tidak mampu dengan jalur umum"
"Puskesmas Kalirungkut","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Kalirungkut&query_place_id=ChIJgRTD7ub61y0Ruf8brKIylwk","5","nimas setya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tGVVZtZEVWR2hhV2tWM1VGUXlNSFJvV1ZKcE9HYxAB!2m1!1s0x0:0x99732a2ac1bffb9!3m1!1s2@1:CAIQACodChtycF9oOkFUVmdEVGhaWkV3UFQyMHRoWVJpOGc%7C%7C?hl=id","Pelayanan nya cepat dan ramah"
