"title","url","stars","name","reviewUrl","text"
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","5","Zulfa Agustina","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GR0xUWnVlR2Q0U2xCaVFVWTBTR040WTBOTlExRRAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CAIQACodChtycF9oOmFGLTZueGd4SlBiQUY0SGN4Y0NNQ1E%7C%7C?hl=id",
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","4","Anita Margareta","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnTUN3cjRxYWt3RRAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CIHM0ogKEICAgMCwr4qakwE%7C%7C?hl=id","Poli gigi nya kasih bintang 100 klau ada krna bener²profesional diperiksa detail kga hanya di tanya²saja tpi juga dijelaskan penyebab sakit nya , semua nya ramah cuma ada satu staf triase ibu²pake kacamata itu judes banget ketus jahat klau sama pasien saya ngalamin sendiri"
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","5","Hida Hida","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25SdFEwUXljbTFGWlc4d1RIbDVVMFJ0VTBSbWFVRRAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CAIQACodChtycF9oOnRtQ0Qycm1FZW8wTHl5U0RtU0RmaUE%7C%7C?hl=id","Bertemu psikolog Bu Lia di puskesmas ini sangat membantu,baik sebelum konsultasi via chat wa dan pada saat konsul di lokasi sangat sangat membantu permasalahan yang sedang saya hadapi. Terimakasih Bu Lia saran dan masukannya."
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","5","Ivan Ardiansyah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2w5TlFrWm9kVlZoVTNseFoxUndRVE5GTUVwMVdIYxAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CAIQACodChtycF9oOl9NQkZodVVhU3lxZ1RwQTNFMEp1WHc%7C%7C?hl=id","tempat bersih, luas, pelayanan baik ramah. tidak rugi faskesnya di ketabang.
pertahankan!"
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","5","VAN DYE","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCa1FVUm9NM2h2VjBoVk16VjNkMHgzT0RRek5YYxAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CAIQACodChtycF9oOjBkQURoM3hvV0hVMzV3d0x3ODQzNXc%7C%7C?hl=id","pelayanan mantap call center Puskemas juga fast respon dlam memberikan pelayanan kepada warga termasuk Di dalam nya untuk lansia  yng mendapatkan prioritas layanan sesuai aturan Perwali Kota Surabaya , pengalaman minta rujukan untuk Lansia sangat cepat proses nya , call centernya juga komunikatif 🙏sehat selalu garda terdepan bangsa dlam bidang kesehatan 🤲😇"
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","5","Dwi Agus","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25wMFVrUkRlSEUyVjBobWFtTldObFkyZEY4eWMzYxAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CAIQACodChtycF9oOnp0UkRDeHE2V0hmamNWNlY2dF8yc3c%7C%7C?hl=id",
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","1","Rindy Artika","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poaFoyUndhR2RWWW5kMExVRlpiSGR6YUd4UVpWRRAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CAIQACodChtycF9oOjhhZ2RwaGdVYnd0LUFZbHdzaGxQZVE%7C%7C?hl=id","orang minta surat dokter untuk ijin kerja malah ga di bolehin dengan alasan sakit cuman pusing, lahhh saya periksa kesini ada keluhan lain bukan cuman pusing tapi demam kalo saya bisa kerja saya ga mungkin priksa, logikanya itu looo. saya priksa karna saya udah ga kuat masuk kerja mngknya minta surat dokter. dokter kok ribet pdhl saya yang sakit ini bukan nya sembuh malah nambahin pusing"
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","5","Anisa Tri Lestari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25Gc01EQjRUSEkxTlVOVGVFVmhWbU42VVd0RFJVRRAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CAIQACodChtycF9oOnFsMDB4THI1NUNTeEVhVmN6UWtDRUE%7C%7C?hl=id",
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","5","Yovita Amalizez","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psVGMwRkJUMnBPTkRaWFN6bHhWMmx1TFRVdGFGRRAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CAIQACodChtycF9oOjlTc0FBT2pONDZXSzlxV2luLTUtaFE%7C%7C?hl=id","puskesmas ini memiliki fasilitas yang sangat baik seperti lift, dan juga tempat bermain anak. selain itu tenaga kesehatan yang berjaga selalu melayani dengan ramah. kondisi puskesmas ketabang ini juga sangat terawat, bersih, dan juga rapi 👍🏻"
"Puskesmas Ketabang","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Ketabang&query_place_id=ChIJ5TRgvmX51y0RABAevt4Mx8s","5","Wahyu Nurmulia Revanti Nabila Putri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21keVIwZFhiekZQYldkRFFWSllTMXBvVkZacVptYxAB!2m1!1s0x0:0xcbc70cdebe1e1000!3m1!1s2@1:CAIQACodChtycF9oOmdyR0dXbzFPbWdDQVJYS1poVFZqZmc%7C%7C?hl=id","Tempatnya sangat bersih, pelayanannya ramah, ruangan tertata rapi, tempat antrian nyaman dan sejuk, fasilitas sangat lengkap dan memadai"
