"title","url","stars","name","reviewUrl","text"
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCWmJVRjNZbDlEZGxCVlgyTmlOMjFMTFd3NFZWRRAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CAIQACodChtycF9oOjBZbUF3Yl9DdlBVX2NiN21LLWw4VVE%7C%7C?hl=id",
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","4","naadi wijaya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21kdFZFbGlNVWxyZFdzeFgyVllXVkEwUXpGR2VuYxAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CAIQACodChtycF9oOmdtVEliMUlrdWsxX2VYWVA0QzFGenc%7C%7C?hl=id","Minta infonya, besok hari Kamis tanggal merah hari kenaikan Isa Almasih. Apakah Puskesmas masih buka?"
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","5","Bakso Level100","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t0RlYyTjBTbFpZVlROQk4zRkRjemd6YmtOWU9YYxAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CAIQACodChtycF9oOktFV2N0SlZYVTNBN3FDczgzbkNYOXc%7C%7C?hl=id","Pelayanannya cepet sihh, petugasnya ramah, apoteker cepat dan ramah memberikan obatnya

Tapi Dokternya kadang ada yang stecu yaa, kek.. yang penting ngomong gtu deh

Yah tetep bagus sih pelayanannya cuma terakhir kesana agak redup lampunya, jadi hawanya agak gelap
, trimakasih nakes puskes lontar🙏🏻"
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","5","Hani Eka","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxelppMXVMV3hJZFdnM1QwdFRNWFZ6U0U0d2RIYxAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CAIQACodChtycF9oOi1zZi1uLWxIdWg3T0tTMXVzSE4wdHc%7C%7C?hl=id","Pelayanan ramah dan cepat, nakes menjelaskan dengan baik perihal sakit yang diderita serta prosedur pengobatan yang akan dilakukan"
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","5","Afkar Ima","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tobWVGWTJWRTFuV0MwelMwRXhSMk42U0U5ek9XYxAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CAIQACodChtycF9oOkhmeFY2VE1nWC0zS0ExR2N6SE9zOWc%7C%7C?hl=id","Pelayanannya cepat, karyawannya seluruh ramah, baik hati, selalu sigap melayani pokoknya bestt deh🤍🙏"
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","5","Yayuk Istichanah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t3d04xbFJjVTV5YlZCM1ZubEJUMHBsZVd4dVpsRRAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CAIQACodChtycF9oOkwwN1lRcU5ybVB3VnlBT0pleWxuZlE%7C%7C?hl=id",
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","5","Halimatus Sadiyah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201VGVIQkJZalk1ZWs5bk0xaGtWV3RQTmxCeVptYxAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CAIQACodChtycF9oOm5TeHBBYjY5ek9nM1hkVWtPNlByZmc%7C%7C?hl=id","pelayanan baik dan memuaskan"
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","5","Nova Natasia","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tRNFowbHhjRTlUVEVaVGFtRlRjalZLYkZKd1RHYxAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CAIQACodChtycF9oOkQ4Z0lxcE9TTEZTamFTcjVKbFJwTGc%7C%7C?hl=id","Pelayanan pijat bayinya bagus dan ramah bikin pulas tidur bayinya makin pulas setelah dipijat 😊"
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","5","Sabrina Nur azkadina","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VLT1pfTGZzME9DQzF3RRAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CIHM0ogKEKOZ_Lfs0OCC1wE%7C%7C?hl=id","pelayanan batra nya baik sekali .. rekomended yg mau pijat bayi🥰♥️"
"Puskesmas Lontar Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Lontar%20Surabaya&query_place_id=ChIJg_lA6DP81y0RlXhysRqFSL4","5","farid ulil yaqin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xONFNWVldaVkl3VW1KM1dqaFNkWGg1VUMxQk1VRRAB!2m1!1s0x0:0xbe48851ab1727895!3m1!1s2@1:CAIQACodChtycF9oOlN4SVVWZVIwUmJ3WjhSdXh5UC1BMUE%7C%7C?hl=id","pengantaran menggunakan ambulans baik sekal, supir yang ramah (pak choirul imron) seiippp...."
