"title","url","stars","name","reviewUrl","text"
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","1","cindyeqidya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKR1ZVbE1hMHhSY1U5UFdUVmllVVl0ZUdkV2IwRRAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOjJGVUlMa0xRcU9PWTVieUYteGdWb0E%7C%7C?hl=id","jutek banget sihh orang”ny apalagi bagian loket jadi males kalau mau berobat ke puskesmas ini"
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xnMlpuWllMVWREVjBsMVFrY3pTMlkxWTFKMFlVRRAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOlg2ZnZYLUdDV0l1QkczS2Y1Y1J0YUE%7C%7C?hl=id",
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","1","choirul anam","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25VeVQwcDVUVVJqTjNkcGR6QkpNME5PTUY5M05sRRAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOnUyT0p5TURjN3dpdzBJM0NOMF93NlE%7C%7C?hl=id","Lemot"
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","5","Rahayu Amanah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tONVQzSkxSRzF5U0dSaGJreElkM2R2TTFGUWMzYxAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOkN5T3JLRG1ySGRhbkxId3dvM1FQc3c%7C%7C?hl=id","Bagus banget sekarang Ketata rapi setiap masuk ruangan sudah sesuai antrian"
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","1","Astrid Setyawati","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pndGFtaHhTVVV3U1Zod1dYcDVaazVRVmxFMVoyYxAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOjgtamhxSUUwSVhwWXp5Zk5QVlE1Z2c%7C%7C?hl=id",
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","1","Dimas Ilham","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psaVMxcHBRVTF2WDJ4dlZUTm5TMDVoZEhaT1NuYxAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOjliS1ppQU1vX2xvVTNnS05hdHZOSnc%7C%7C?hl=id","datang pertama ke poli gigi diperiksa dan dibilang “kita buatkan rujukan ke rs” datang kedua dibilang antrian full yg ketiga begitu datang baru dibilang tidak bisa dibuatkan karna bukan faskes terdaftar bpjs, kenapa ga bilang diawal ya? apa emang hobinya bikin orang bolak-balik?"
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","5","Calvin Annafis","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25sSlJqRm9hRGwyVGpKRVRURlZZamxmV1hKNVFXYxAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOnlJRjFoaDl2TjJETTFVYjlfWXJ5QWc%7C%7C?hl=id",
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","5","Muhamad Rokhim","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21zMlRWQmxhWGRhUTJ0dVVWSkRiRTV0TlRoSWRVRRAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOms2TVBlaXdaQ2tuUVJDbE5tNThIdUE%7C%7C?hl=id","Puskesmas Mojo fasilitas kesehatan yang menangani pasien umum & BPJS.Pelayanan dokter, perawat bahkan staf sangat bagus sekali.Tempatnya nyaman, rapi, luas & bersih.Tersedia fasilitas seperti free wifi, tempat bermain anak & toilet.Begitupun juga tersedia 2 armada ambulance gratis untuk warga yang membutuhkan hanya untuk wilayah per kelurahan.Parkir berbayar"
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","3","Lisa Tri Jayanti","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25WT1kyVkhVMmhEV2toaFpIRkliaTF0WW5nMlRHYxAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOnVOY2VHU2hDWkhhZHFIbi1tYng2TGc%7C%7C?hl=id","- Bagian pendaftaran baik dan membantu
- Bagian staf penerima poli umum sangat baik dan membantu menginformasikan dengan jelas dan ramah
- Bagian lab baik, sangat ramah dan membantu
Terima kasih untuk staf yang baik dan membantu 🙏🏻

- Bagian input data catin, songong dan tidak ramah. Timbang input aja ga ramah.

Minta HP untuk foto, kalau ngomong yang sopan! Mintalah baik baik. Minta data pasangan ga usah nge gas : “cepetan keburu loading lagi !”

Semoga lu dapet hal yang ga menyenangkan juga !!! Belajar lagi adab dan etika !

Yaah begitulah apa yang diharapkan dari staf pemerintahan"
"Puskesmas Mojo Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Mojo%20Surabaya&query_place_id=ChIJ83eyNin61y0Rd63mR2WaOjo","1","sahim permanen","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tST1F6aElTekpQVVVwQ2FraERObTVJYVRaeE9FRRAB!2m1!1s0x0:0x3a3a9a6547e6ad77!3m1!1s2@1:CAIQACodChtycF9oOkROQzhISzJPUUpCakhDNm5IaTZxOEE%7C%7C?hl=id","masak mau daftar dimarahi sama ibu² di loket pendaftaran katanya suruh dateng setelah istirahat aja datang jam 1 katanya dia mau istirahat ganggu orang maj istirahat katanya, harusnya sih kasih prosedurnya sesuai dengan sop yg ada, bukan malah marah² in pasien yg mau daftar."
