"title","url","stars","name","reviewUrl","text"
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","1","Mul anthenks","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xKc2VUaFhiWHBLTVRFNVdVUmhWRU4wY1UxcVlYYxAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOlJseThXbXpKMTE5WURhVEN0cU1qYXc%7C%7C?hl=en","pelayanan sangat lambat sekali,antrian sangat banyak.ap yg di kerjakan dokter,banyak pasien yg tanya antriannya koq lama banget,lemot.."
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tRemVGbFFTbEJTZWprM1NFRlNNblI0WWkwd2FVRRAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOkQzeFlQSlBSejk3SEFSMnR4Yi0waUE%7C%7C?hl=en",
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","1","nadhila sharfina","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWYVJETm9OVGwwY0V4WFVHRjBTVW8xVkVoSFYyYxAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOlVaRDNoNTl0cExXUGF0SUo1VEhHV2c%7C%7C?hl=en","Tolong ya kalo periksa itu yg bener2 beneran diperiksa , jelasin juga sakitnya apa, ngasih obat juga jangan ngasal! Cuma ditanyain keluhannya apa lngsng kasi obat gitu aja tanpa diperiksa.. kalo salah obat terus ada apa2 mau tanggung jawab???"
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","5","jago epep","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s1Q1gwUk5UV2xVT0VOaVEwbEJXRFZSUzFSbGFXYxAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOk5CX0RNTWlUOENiQ0lBWDVRS1RlaWc%7C%7C?hl=en","Alhamdulillah pukesmas pegirian skrg sudah ok,enak dingin ber AC ,pelayanannya juga ok,bersih  👍🥰"
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","5","Pudji Handari","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tSNlZWQTNhRFZqWlRsTVIyNTVSR2t4VDNNeFRGRRAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOkR6VVA3aDVjZTlMR255RGkxT3MxTFE%7C%7C?hl=en","Puskesmas yg baru sangat baik, begitu juga dgn pelayanan nakes dgn 5 S = sopan, salam, sapa, , santun  kaya selalu puskesmas pegirian"
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","5","Mimin Rika","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25OUkxVMXFNREU0YzBGSE1FVnlZV2RIU0hGd2RsRRAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOnNRLU1qMDE4c0FHMEVyYWdHSHFwdlE%7C%7C?hl=en","Alhamdulillah puskesmas pegirian sudah bagus pelayanannya makin mantap dan semua Nakesnya baik hati dan ramah-ramah sukses selalu"
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","5","Enikmustika 23","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGUWFWQlVlRkpNY1ZoM1lpMUhjekJ3ZFRsNVZYYxAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOjFQaVBUeFJMcVh3Yi1HczBwdTl5VXc%7C%7C?hl=en","Pelayanan nya sangat memuaskan di puskesmas Pegirian"
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","5","Ratna JR","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25weVdHaFJWWFk1VW13NVJTMDRWVjl3VTBzdGJFRRAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOnpyWGhRVXY5Umw5RS04VV9wU0stbEE%7C%7C?hl=en","Semenjak pindah ke gedung baru,  lebih nyaman lebih adem....
Pelayanan cukup memuaskan
Minus parkiran saja kurang luas..."
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","5","Hp Baru","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25welFVbHZYMXB5VEZKUFIwSlFRbEZpV1U1U1dHYxAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOnpzQUlvX1pyTFJPR0JQQlFiWU5SWGc%7C%7C?hl=en","Puskesmasnya bagus dan luas pelayanannya baik"
"Pegirian Public Health Center","https://www.google.com/maps/search/?api=1&query=Pegirian%20Public%20Health%20Center&query_place_id=ChIJm-vcReL41y0RkLcnA5Jfq_4","5","Muntik Irowati","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xweVltbFRYMTlsTTIxdU5ETnBjMngwVUV0RmJrRRAB!2m1!1s0x0:0xfeab5f920327b790!3m1!1s2@1:CAIQACodChtycF9oOlpyYmlTX19lM21uNDNpc2x0UEtFbkE%7C%7C?hl=en","Pelayananya lebih cepat dan rahma"
