"title","url","stars","name","reviewUrl","text"
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxR2N6UnBVRUphV1V4cVVGRTVkRXRUWmpOeFJFRRAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOi1GczRpUEJaWUxqUFE5dEtTZjNxREE%7C%7C?hl=id",
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","5","Happy Cahmul","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pCcFRGZ3hNVFo0ZGtodVNqRmtaMUJxVUZGWlZYYxAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOjBpTFgxMTZ4dkhuSjFkZ1BqUFFZVXc%7C%7C?hl=id",
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","1","Yohanes Santoso","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pWUk1HZDRSMVU0WmtGb05WZDJYMVJXT1hCbk5YYxAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOjVRMGd4R1U4ZkFoNVd2X1RWOXBnNXc%7C%7C?hl=id",
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","5","Salsa Fiya","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2s5eFdrVlBSMUpQV0ZoVGRqTnJiWFJNVWxKcGNuYxAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOk9xWkVPR1JPWFhTdjNrbXRMUlJpcnc%7C%7C?hl=id",
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","1","Irwan Wawan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2twNFozcFFiVFEzYTBWa1RteEdOa2w1ZEdSU1dYYxAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOkp4Z3pQbTQ3a0VkTmxGNkl5dGRSWXc%7C%7C?hl=id","panggilan lama sekali, nomer setelah saya sudah dipanggil, sy tidak dipanggil2
sudah di tensi, ternyata hasilnya belum dimasukan dan akhirnya ditanyai lagi keluhannya dari awal. waktu terbuang percuma dan capek jelasin dari awal."
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","5","baktiyar qurtubi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21oV2IzSTRUbDlmWm10c055MDNNRzVvY1c5SmNGRRAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOmhWb3I4Tl9fZmtsNy03MG5ocW9JcFE%7C%7C?hl=id","Faskes ku"
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","1","Muhammad Hamdani Abdillah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2preGFqbHlUazVOZW0xVk1YcFFjV2g0TVVkMWJuYxAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOjkxajlyTk5Nem1VMXpQcWh4MUd1bnc%7C%7C?hl=id","Gak ramah"
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","5","safira zahrani hidayat","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25VM2VXZzVZMHR0WnpneFpVVTVNR1pwTTJKWUxVRRAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOnU3eWg5Y0ttZzgxZUU5MGZpM2JYLUE%7C%7C?hl=id","Alhamdulillah periksa dengan bidan2 yg baik...
Ramah.. pelayanan dari depan sampai selesai memuaskan... Makasihhh kakak2 nakes.."
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","5","silviana putri","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tKSGIzaHlVbE5PTmpSTk1uaHVjMXAxYVhwUWFrRRAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOkJHb3hyUlNONjRNMnhuc1p1aXpQakE%7C%7C?hl=id","Mantap pucang sewu pelayanan is the best cepat tanggap"
"Puskesmas Pucang Sewu","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Pucang%20Sewu&query_place_id=ChIJwQsYH7b71y0Rov2gDyTUY3g","5","09 Daiyan Dzakky Achmad","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t4NU5WbzRTM0pRWWsxbWNERTNUbEpCYVZneGFsRRAB!2m1!1s0x0:0x7863d4240fa0fda2!3m1!1s2@1:CAIQACodChtycF9oOkx5NVo4S3JQYk1mcDE3TlJBaVgxalE%7C%7C?hl=id","Pelayanan nya bagus, dokter dokternya menjelaskan dengan baik dan ramah"
