"title","url","stars","name","reviewUrl","text"
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","5","Tyara Salsabila","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oSE1tNUZhMko1Ym1wb1FrRndZekl5WVd4U1ZIYxAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOnhHMm5Fa2J5bmpoQkFwYzIyYWxSVHc%7C%7C?hl=id","Pindah vaskes berhasil
Terima kasih"
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25scUxWUk9aa3hhVHpoVlVVeG5YMkZGU21sSlVXYxAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOnlqLVROZkxaTzhVUUxnX2FFSmlJUWc%7C%7C?hl=id",
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","1","Samijo Ora kuat","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pkWFkwTlBSVkI2WlhKRlRHODNTRnA2UjJndGEyYxAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOjdXY0NPRVB6ZXJFTG83SFp6R2gta2c%7C%7C?hl=id","1. BAGIAN LAB.NYA LAMA BANGET TIDUR KAYAKNYA DIA Dri Jam 06.30 antri nomer 15 !!! 😤
2. ITU BAGIAN SAAT AMBIL DARAH MINTA TOLONG JANGAN DI KASIH ORANG YANG MAGANG AMBIL DARAH GAK PECUS TANGAN KIRI KANAN DI SUNTIK SEMUA"
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","5","Safira Ghaisani","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25Sd1FXdHVNelpKUW5jNFlVdzBkazVETFU5TE4zYxAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOnRwQWtuMzZJQnc4YUw0dk5DLU9LN3c%7C%7C?hl=id","baik"
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","5","Giovanno Simanjuntak","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xWRVVGbHFRM0pYTm1Oek5IVkRORVJyUkV0Mk1uYxAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOlVEUFlqQ3JXNmNzNHVDNERrREt2Mnc%7C%7C?hl=id","Mantap puskesmas Rangkah, staff baik, pelayanan top"
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","5","Julius Manurung","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GS1FXeGhPSE5ZVEc5WFVqZDNhbFExTkRWUVVXYxAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOnFKQWxhOHNYTG9XUjd3alQ1NDVQUWc%7C%7C?hl=id",
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","5","Indra Kurni","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21wS1JEQndaMjVaVERNeVIwRmhXVk5CTlVOV1lYYxAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOmpKRDBwZ25ZTDMyR0FhWVNBNUNWYXc%7C%7C?hl=id","Pindah faskes berhasil.
Terimakasih sudah dibantu"
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","4","oni eko","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25Ob1RYcDBhelJxUVcwelRIbHBSWFIxY1RoaVgwRRAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOnNoTXp0azRqQW0zTHlpRXR1cThiX0E%7C%7C?hl=id","Layanan bagus cepat
Gak pakai antre lama"
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","5","Jeffry Arivianto","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25JdFJHdzBXblpmYjNOMWNtRktUM0l5VVVGaVMyYxAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOnItRGw0WnZfb3N1cmFKT3IyUUFiS2c%7C%7C?hl=id","Pindah faskes berhasil terima kasih"
"Puskesmas Rangkah Surabaya","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Rangkah%20Surabaya&query_place_id=ChIJ11eSLKD51y0RZAMesgRyir4","5","Faris Alpan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xZNWFtMVRRWEJDWnpKSVlrazFUR1poVmtWWGRWRRAB!2m1!1s0x0:0xbe8a7204b21e0364!3m1!1s2@1:CAIQACodChtycF9oOlY5am1TQXBCZzJIYkk1TGZhVkVXdVE%7C%7C?hl=id","Alhamdulilah baik terimakasih"
