"title","url","stars","name","reviewUrl","text"
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SblRWOUZObGh4WlRNMlMxSlhaakF5TWxCeFVIYxAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOmRnTV9FNlhxZTM2S1JXZjAyMlBxUHc%7C%7C?hl=id",
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","5","Yusi Yusi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25CbVJrNWpOWFpxZUZCdGEwSXpVV2hEYURCTExXYxAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOnBmRk5jNXZqeFBta0IzUWhDaDBLLWc%7C%7C?hl=id",
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","5","Hatna Zahra","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paVlIxTXdlVkpqUnpSclEzQTBlRTlLWDFoQ1kyYxAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOjZVR1MweVJjRzRrQ3A0eE9KX1hCY2c%7C%7C?hl=id","Petugasnya ramah"", pelayanannya juga baik"
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","5","Rodliyah Bintoro","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21GNmNVMHlhRTV3WjFoQ1NrMWZia2RxTTNsMlpFRRAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOmF6cU0yaE5wZ1hCSk1fbkdqM3l2ZEE%7C%7C?hl=id",
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","5","Yuyun Azmiyah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xSbWNVMHdObXhVYURac1kybFZTakV0UzFKelUzYxAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOlRmcU0wNmxUaDZsY2lVSjEtS1JzU3c%7C%7C?hl=id","Pelayanannya sangat memuaskan, para petugasnya juga sangat ramah"
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","1","Cakti koeswoyo Adi","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT201SlJFaDVabTlEWkZSWlFrSkxRek5uZFRnMk0wRRAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOm5JREh5Zm9DZFRZQkJLQzNndTg2M0E%7C%7C?hl=id","Pelayananmu tambah seperti anak kecil yang kamu beri permen langsung diam. Mau imunisasil bcg tapi ada keluhan pernapasan. Disarankan sama DOKTER KIA ke RS. IBI. tetapi gak diberi surat rujukan untuk kesana, malah disuruh umum. Bu dokter ato Bu bidan Pegawai Puskesmas Tembok Dukuh, kita sama sama pegawai PEMKOT GAJI DIPOTONG BUAT BAYAR BPJS. Trus buat apa BPJS kalo gak dipake tapi suruh bayar. Ato sengaja ada permainan gitu. . ."
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","5","julio anysao","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21obVRHbFVXV1psZFdaek4yWXpSM05xVmxvMFZtYxAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOmhmTGlUWWZldWZzN2YzR3NqVlo0Vmc%7C%7C?hl=id","Terima Kasih Tim Poli KIA, pelayanan dan pemeriksaan sangat baik dan memuaskan. Pelayanan dengan baik dan sepenuh hati. Sehat Selalu Bu Bidan dan Bu Dokter."
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","5","achashabira achashabira","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pselFVaHhNVEEyVFVGaGFGQnNZVGx3ZVZaRVZYYxAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOjlzQUhxMTA2TUFhaFBsYTlweVZEVXc%7C%7C?hl=id","Pelayanan sangar ramah"
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","4","fasha fadillah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25oVWMwVk5USGxzVURCbFRUSTFORXhYVlhadllVRRAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOnhUc0VNTHlsUDBlTTI1NExXVXZvYUE%7C%7C?hl=id","Pelayanannya ramah"
"Puskesmas Tembok Dukuh","https://www.google.com/maps/search/?api=1&query=Puskesmas%20Tembok%20Dukuh&query_place_id=ChIJ58xCREz51y0RT_0doHZe4xo","5","Diah Aisyah","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25kWldIcHVjMm94WjJwQ1gweEZkM1JWTTNoUWMyYxAB!2m1!1s0x0:0x1ae35e76a01dfd4f!3m1!1s2@1:CAIQACodChtycF9oOndZWHpuc2oxZ2pCX0xFd3RVM3hQc2c%7C%7C?hl=id","pelayanan ramaahhhhh🫶🏻🫶🏻🫶🏻"
