"title","url","stars","name","reviewUrl","text"
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","5","Arifin Bolan","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pab2JWTXlkMlY1VTNKbWFrSmlWVzlzTFhjemJWRRAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOjZobVMyd2V5U3JmakJiVW9sLXczbVE%7C%7C?hl=en",
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","5","Shafira Anggraini","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGRU5tZGthVUl6TVVoMFVqUTRhaTFrTm1kelUxRRAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOjFENmdkaUIzMUh0UjQ4ai1kNmdzU1E%7C%7C?hl=en","Lancar, pelayanan sangat baik"
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","5","Nurul Hidayati","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2kxNWJFRjBaVWhtYkc1WVVsbFJXUzFGVFUxZmVHYxAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOi15bEF0ZUhmbG5YUllRWS1FTU1feGc%7C%7C?hl=en","Pelayanan kia nya cepet tanggep juga sukaaa"
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","5","CHAIRUN NISA","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT20xZmRuQkhUbG8xU25GSmFsVTNZVmhWVVVsa05XYxAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOm1fdnBHTlo1SnFJalU3YVhVUUlkNWc%7C%7C?hl=en",
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","5","Meysha Kedaimanis","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2poRFVGbzRaelpaT0VFME4waERMVEl0UXpOS1YyYxAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOjhDUFo4ZzZZOEE0N0hDLTItQzNKV2c%7C%7C?hl=en","Pelayanan cepat petugas e dan dokter juga tanggap .untuk sakit yang di derita pasien .."
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","5","Luvi Ayu","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2t0ME0xcHJRbmxWV2sxc2FGVkZMV1p2YWxkV1FVRRAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOkt0M1prQnlVWk1saFVFLWZvaldWQUE%7C%7C?hl=en","Cepat dan bagus"
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","5","Chamel Movic","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pOalFuVkxVWGgzZGxsbkxVNTRPV2s0TjFRelRGRRAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOjNjQnVLUXh3dllnLU54OWk4N1QzTFE%7C%7C?hl=en","Baik"
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","3","Andyni Mitha","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21WM2JVSk9TVkJNVUdoM1ExaG5WUzFLTXpWUExXYxAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOmV3bUJOSVBMUGh3Q1hnVS1KMzVPLWc%7C%7C?hl=en","Kenapa yh setiap kali minta rujukan selalu jawabnya kyk gk mau ngasih nunggu orngnya sekarat apa yh masak nunggu senin saya cek lab saya juga pngm sembuh supaya bisa kembali bekerja"
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","5","Cheliyy","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21Ka1FrRlJjVjlPT1ZOZmEzcENVaTFxVXpOMU9IYxAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOmJkQkFRcV9OOVNfa3pCUi1qUzN1OHc%7C%7C?hl=en","Pelayanannya sangat baik"
"Wonokusumo Public Health Center","https://www.google.com/maps/search/?api=1&query=Wonokusumo%20Public%20Health%20Center&query_place_id=ChIJB4jUFfv41y0RBqMDxhgBEIk","4","Maya dwi agustin","https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xsV1RXTnFNVVZ5Y1ZwSWVYWk1aVGROY0ZOVE5uYxAB!2m1!1s0x0:0x89100118c603a306!3m1!1s2@1:CAIQACodChtycF9oOllWTWNqMUVycVpIeXZMZTdNcFNTNnc%7C%7C?hl=en","kalo sore masih dilayani ga ya"
