puskesmas_id,wilayah,puskesmas_name,puskesmas_title,n_reviews,n_empty,n_very_short,n_with_rating,rating_mean,rating_median,rating_std,text_length_mean,text_length_median
PKM_BTL_001,Bantul,Bambanglipuro,PUSKESMAS BAMBANGLIPURO,356,51,74,356,4.54,5.0,1.2,102.75,73.5
PKM_BTL_002,Bantul,Banguntapan 1,Puskesmas Banguntapan I,755,237,297,755,4.45,5.0,1.25,80.83,34.0
PKM_BTL_003,Bantul,Banguntapan 2,Puskesmas Banguntapan II,405,90,115,405,3.83,5.0,1.72,113.98,45.0
PKM_BTL_004,Bantul,Banguntapan 3,Puskesmas Banguntapan III,719,190,258,719,4.48,5.0,1.24,81.76,35.0
PKM_BTL_005,Bantul,Bantul 1,Puskesmas Bantul 1,688,244,340,688,4.52,5.0,1.18,65.41,20.0
PKM_BTL_006,Bantul,Bantul 2,Puskesmas Bantul 2,429,155,201,429,4.32,5.0,1.18,72.67,25.0
PKM_BTL_007,Bantul,Dlingo 1,Puskesmas Dlingo I,100,22,26,100,3.9,5.0,1.63,129.31,73.5
PKM_BTL_008,Bantul,Dlingo 2,Puskesmas Dlingo II,70,26,34,70,4.24,5.0,1.47,65.0,25.5
PKM_BTL_009,Bantul,Imogiri 1,Puskesmas Imogiri I,230,44,66,230,4.39,5.0,1.32,122.59,55.5
PKM_BTL_010,Bantul,Imogiri 2,Puskesmas Imogiri II,215,61,97,215,4.16,5.0,1.52,67.6,25.0
PKM_BTL_011,Bantul,Jetis 1,Puskesmas Jetis I,270,66,88,270,4.16,5.0,1.45,101.77,47.5
PKM_BTL_012,Bantul,Jetis 2,Puskesmas Jetis II,120,29,45,120,4.49,5.0,1.19,78.12,37.0
PKM_BTL_013,Bantul,Kasihan 1,Puskesmas Kasihan I,1389,746,878,1389,4.4,5.0,1.35,68.05,3.0
PKM_BTL_014,Bantul,Kasihan 2,Puskesmas Kasihan II,455,80,98,455,4.04,5.0,1.57,120.32,61.0
PKM_BTL_015,Bantul,Kretek,Puskesmas Kretek Kabupaten Bantul,145,38,54,145,3.87,5.0,1.64,133.87,53.0
PKM_BTL_016,Bantul,Pajangan,Puskesmas Pajangan,275,62,78,275,4.24,5.0,1.44,116.83,64.0
PKM_BTL_017,Bantul,Pandak 1,Puskesmas Pandak 1,189,31,37,189,4.11,5.0,1.53,172.84,64.0
PKM_BTL_018,Bantul,Pandak 2,Puskesmas Pandak II,196,30,43,196,4.36,5.0,1.38,120.1,94.0
PKM_BTL_019,Bantul,Piyungan,Puskesmas Piyungan,405,139,198,405,4.35,5.0,1.31,68.9,21.0
PKM_BTL_020,Bantul,Pleret,Puskesmas Pleret,297,60,85,297,4.07,5.0,1.58,108.64,55.0
PKM_BTL_021,Bantul,Pundong,Puskesmas Pundong,184,39,52,184,4.21,5.0,1.51,112.05,55.0
PKM_BTL_022,Bantul,Sanden,Puskesmas Sanden Kabupaten Bantul (IGD),201,48,63,201,4.23,5.0,1.44,98.29,38.0
PKM_BTL_023,Bantul,Sedayu 1,Puskesmas Sedayu I,425,123,195,425,4.59,5.0,1.09,62.92,25.0
PKM_BTL_024,Bantul,Sedayu 2,Puskesmas Sedayu II,199,63,81,199,4.1,5.0,1.48,76.88,32.0
PKM_BTL_025,Bantul,Sewon 1,Puskesmas Sewon 1,1039,323,458,1039,4.36,5.0,1.36,83.67,27.0
