term,z_score,n_neg,n_pos
malah,-28.49,1845,70
buruk,-23.33,1217,35
tolong,-23.05,1419,161
padahal,-22.14,1319,154
sakit,-20.44,1863,645
kurang,-20.11,1495,393
minta,-19.65,1261,260
nunggu,-19.56,1293,287
apa,-19.28,1465,427
bilang,-18.39,826,58
disuruh,-17.24,708,41
lagi,-17.14,2011,1055
surat,-16.75,1171,370
suruh,-16.34,642,40
lama,-16.22,1907,1043
kecewa,-15.86,616,44
katanya,-15.83,607,40
tau,-15.75,788,152
kerja,-14.29,691,153
datang,-14.12,1240,601
bukan,-14.06,753,207
dipanggil,-13.64,607,124
masih,-13.35,947,397
kenapa,-13.27,450,41
bayar,-13.24,599,135
lain,-12.68,798,311
baru,-12.58,1081,564
obat,-12.5,1345,823
nomer,-12.43,541,128
diperbaiki,-12.25,410,50
rujukan,-12.22,1063,572
parah,-12.08,338,15
nomor,-11.95,628,212
harusnya,-11.92,363,33
alasan,-11.9,325,13
panggil,-11.8,373,42
tanya,-11.8,681,261
minta surat,-11.69,397,60
masuk,-11.67,746,322
jangan,-11.6,509,138
belum,-11.49,577,193
ketus,-11.3,348,42
tutup,-11.27,384,65
balik,-10.99,404,87
mengecewakan,-10.96,323,37
mohon,-10.9,630,263
judes,-10.9,353,57
sy,-10.77,791,412
bagian,-10.58,922,548
seharusnya,-10.42,277,25
masa,-10.38,293,35
gimana,-10.31,274,26
pdhl,-10.26,277,29
niat,-10.22,235,7
karna,-10.19,578,253
nada,-10.15,249,16
mana,-10.15,304,48
sendiri,-10.11,391,108
jelek,-10.1,245,15
akhirnya,-10.08,370,94
no,-10.06,468,168
kurang ramah,-9.92,302,53
ngomong,-9.88,243,19
lambat,-9.78,237,18
11,-9.74,291,51
dulu,-9.68,659,351
minta rujukan,-9.67,354,96
anda,-9.67,286,50
pas,-9.56,544,253
perbaiki,-9.49,246,30
masak,-9.44,210,11
12,-9.44,254,36
ternyata,-9.41,505,226
mending,-9.41,229,22
jawab,-9.17,282,61
eh,-9.09,225,27
dateng,-9.06,264,52
kata,-9.01,248,43
tua,-8.96,241,40
10,-8.92,373,136
rs,-8.76,419,180
ditanya,-8.76,241,45
pake,-8.71,342,119
30,-8.69,369,141
kasar,-8.59,168,6
dibilang,-8.47,175,12
