review_id,puskesmas_id,puskesmas_name,puskesmas_title,wilayah,rating,review_text,reviewer_name,review_url,puskesmas_url,source_file,text_length,is_empty_text,is_very_short,has_rating,emoji_saja
PKM_BTL_002_R0701_9ff471ff,PKM_BTL_002,Banguntapan 1,Puskesmas Banguntapan I,Bantul,4,👍,Hexa Ramdhanandro Sugiarto,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURNX1AyejB3RRAB!2m1!1s0x0:0xffdc103a686be36c!3m1!1s2@1:CIHM0ogKEICAgIDM_P2z0wE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Banguntapan%20I&query_place_id=ChIJNyPDDjBXei4RbONraDoQ3P8,Puskesmas Banguntapan 1.csv,1,False,True,True,True
PKM_BTL_002_R0727_ff66a15d,PKM_BTL_002,Banguntapan 1,Puskesmas Banguntapan I,Bantul,4,👍👍,Dwi Indar,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUN3emJMa1BnEAE!2m1!1s0x0:0xffdc103a686be36c!3m1!1s2@1:CIHM0ogKEICAgICwzbLkPg%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Banguntapan%20I&query_place_id=ChIJNyPDDjBXei4RbONraDoQ3P8,Puskesmas Banguntapan 1.csv,2,False,True,True,True
PKM_BTL_004_R0479_d0fed172,PKM_BTL_004,Banguntapan 3,Puskesmas Banguntapan III,Bantul,5,👍👍👍,Imerda Mifthahul Najwah,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMxdGVTMmdRRRAB!2m1!1s0x0:0x68b33c42a512b3cc!3m1!1s2@1:CIHM0ogKEICAgIC1teS2gQE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Banguntapan%20III&query_place_id=ChIJ2aGlrWlXei4RzLMSpUI8s2g,Puskesmas Banguntapan 3.csv,3,False,True,True,True
PKM_BTL_004_R0571_bd8c1ff3,PKM_BTL_004,Banguntapan 3,Puskesmas Banguntapan III,Bantul,5,👍👍👍,Najiba Hasna,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURKdkttR05BEAE!2m1!1s0x0:0x68b33c42a512b3cc!3m1!1s2@1:CIHM0ogKEICAgIDJvKmGNA%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Banguntapan%20III&query_place_id=ChIJ2aGlrWlXei4RzLMSpUI8s2g,Puskesmas Banguntapan 3.csv,3,False,True,True,True
PKM_BTL_005_R0410_ef876733,PKM_BTL_005,Bantul 1,Puskesmas Bantul 1,Bantul,5,🙏🏻,Hardika Joni,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURwMS1YUXBBRRAB!2m1!1s0x0:0xff42f7d8bfa9db73!3m1!1s2@1:CIHM0ogKEICAgIDp1-XQpAE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%201&query_place_id=ChIJo5AQBV3_ei4Rc9upv9j3Qv8,Puskesmas Bantul 1.csv,2,False,True,True,True
PKM_BTL_006_R0072_4d2e3264,PKM_BTL_006,Bantul 2,Puskesmas Bantul 2,Bantul,5,🫶,January Christy,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNqdEthRzZnRRAB!2m1!1s0x0:0x7f6976f108109f81!3m1!1s2@1:CIHM0ogKEICAgICjtKaG6gE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%202&query_place_id=ChIJp2Pf8aj4ei4RgZ8QCPF2aX8,Puskesmas Bantul 2.csv,1,False,True,True,True
PKM_BTL_006_R0251_f8773489,PKM_BTL_006,Bantul 2,Puskesmas Bantul 2,Bantul,5,👍,Tyas Ningrum,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNza1otTnV3RRAB!2m1!1s0x0:0x7f6976f108109f81!3m1!1s2@1:CIHM0ogKEICAgICskZ-NuwE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%202&query_place_id=ChIJp2Pf8aj4ei4RgZ8QCPF2aX8,Puskesmas Bantul 2.csv,1,False,True,True,True
PKM_BTL_006_R0315_9363ce94,PKM_BTL_006,Bantul 2,Puskesmas Bantul 2,Bantul,5,👍👍👍👍👍,Liu Min Fwee,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNZNnN2dzFRRRAB!2m1!1s0x0:0x7f6976f108109f81!3m1!1s2@1:CIHM0ogKEICAgICY6svw1QE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Bantul%202&query_place_id=ChIJp2Pf8aj4ei4RgZ8QCPF2aX8,Puskesmas Bantul 2.csv,5,False,True,True,True
PKM_BTL_008_R0003_53c7e374,PKM_BTL_008,Dlingo 2,Puskesmas Dlingo II,Bantul,5,👍👍👍,Narti ThaEnbibo,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2tzMlNIUTBiVTB5TFdaMWRGTkZSbUZTTWtSUWIwRRAB!2m1!1s0x0:0xf44c2a81fd188cd5!3m1!1s2@1:CAIQACodChtycF9oOks2SHQ0bU0yLWZ1dFNFRmFSMkRQb0E%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Dlingo%20II&query_place_id=ChIJj_woPCpTei4R1YwY_YEqTPQ,Puskesmas Dlingo 2.csv,3,False,True,True,True
PKM_BTL_009_R0152_611a4973,PKM_BTL_009,Imogiri 1,Puskesmas Imogiri I,Bantul,5,🤫,Tam Tam,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURSdk55dXZRRRAB!2m1!1s0x0:0x20942b7e0c39ab51!3m1!1s2@1:CIHM0ogKEICAgIDRvNyuvQE%7C%7C?hl=id,https://www.google.com/maps/search/?api=1&query=Puskesmas%20Imogiri%20I&query_place_id=ChIJt2CBbQBVei4RUas5DH4rlCA,Puskesmas Imogiri 1.csv,1,False,True,True,True
