puskesmas_id,puskesmas_title,wilayah,avg_rating,jumlah_ulasan,latitude,longitude
PKM_BTL_001,PUSKESMAS BAMBANGLIPURO,Bantul,1.14,29,-7.9558263,110.2928718
PKM_BTL_002,Puskesmas Banguntapan I,Bantul,1.14,72,-7.829088,110.413992
PKM_BTL_003,Puskesmas Banguntapan II,Bantul,1.15,92,-7.844359,110.383537
PKM_BTL_004,Puskesmas Banguntapan III,Bantul,1.18,71,-7.807838,110.404452
PKM_BTL_005,Puskesmas Bantul 1,Bantul,1.2,54,-7.903612,110.321894
PKM_BTL_006,Puskesmas Bantul 2,Bantul,1.32,34,-7.87161,110.327167
PKM_BTL_007,Puskesmas Dlingo I,Bantul,1.1,20,-7.9338157,110.4651979
PKM_BTL_008,Puskesmas Dlingo II,Bantul,1.0,10,-7.8802457,110.4526249
PKM_BTL_009,Puskesmas Imogiri I,Bantul,1.04,24,-7.9198651,110.3802131
PKM_BTL_010,Puskesmas Imogiri II,Bantul,1.1,31,-7.9447297,110.372687
PKM_BTL_011,Puskesmas Jetis I,Bantul,1.15,33,-7.897809,110.375175
PKM_BTL_012,Puskesmas Jetis II,Bantul,1.33,12,-7.9281671,110.3491672
PKM_BTL_013,Puskesmas Kasihan I,Bantul,1.15,155,-7.83836,110.312159
PKM_BTL_014,Puskesmas Kasihan II,Bantul,1.11,87,-7.8289546,110.3450649
PKM_BTL_015,Puskesmas Kretek Kabupaten Bantul,Bantul,1.12,26,-7.9725132,110.3188374
PKM_BTL_016,Puskesmas Pajangan,Bantul,1.12,34,-7.8934081,110.2896644
PKM_BTL_017,Puskesmas Pandak 1,Bantul,1.26,34,-7.90123,110.301635
PKM_BTL_018,Puskesmas Pandak II,Bantul,1.25,20,-7.9183326,110.2841875
PKM_BTL_019,Puskesmas Piyungan,Bantul,1.29,42,-7.8314195,110.4584522
PKM_BTL_020,Puskesmas Pleret,Bantul,1.18,51,-7.86423,110.3897192
PKM_BTL_021,Puskesmas Pundong,Bantul,1.07,29,-7.9567888,110.3437436
PKM_BTL_022,Puskesmas Sanden Kabupaten Bantul (IGD),Bantul,1.17,24,-7.966732,110.264987
PKM_BTL_023,Puskesmas Sedayu I,Bantul,1.18,28,-7.8016586,110.2765091
PKM_BTL_024,Puskesmas Sedayu II,Bantul,1.12,26,-7.81679,110.256557
PKM_BTL_025,Puskesmas Sewon 1,Bantul,1.15,122,-7.8608951,110.3534057
PKM_BTL_026,Puskesmas Sewon II,Bantul,1.14,119,-7.846926,110.360509
PKM_BTL_027,Puskesmas Srandakan,Bantul,1.24,17,-7.938125,110.2507658
PKM_SBY_001,Puskesmas Balas Klumprik,Surabaya,1.0,31,-7.3315249,112.6900272
PKM_SBY_002,Puskesmas Bangkingan,Surabaya,1.17,30,-7.32492,112.656109
PKM_SBY_003,Puskesmas Banyu Urip,Surabaya,1.12,98,-7.2715069,112.7200273
PKM_SBY_004,Puskesmas Bulak Banteng Kota Surabaya,Surabaya,1.07,72,-7.2177947,112.7662792
PKM_SBY_005,Puskesmas Dukuh Kupang,Surabaya,1.17,150,-7.283236,112.7122257
PKM_SBY_006,Puskesmas Gayungan,Surabaya,1.1,131,-7.3381017,112.7186968
PKM_SBY_007,Puskesmas Gunung Anyar,Surabaya,1.11,160,-7.3408615,112.7839286
PKM_SBY_008,Puskesmas Jagir,Surabaya,1.13,151,-7.3056601,112.7377323
